Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms

group   name              kernel        rows      cols      block_x grid_x  cpu   gpu   total_ms    kernel_ms   
scale   scale_tensara_3   basic         4096      7168      512     16      SKIP  SKIP  59.651      1.629       
scale   scale_tensara_3   basic         4096      7168      512     32      SKIP  SKIP  67.715      1.365       
scale   scale_tensara_3   basic         4096      7168      512     64      SKIP  SKIP  63.226      1.531       
scale   scale_tensara_3   basic         4096      7168      512     128     SKIP  SKIP  60.827      1.430       
scale   scale_tensara_4   basic         4096      8192      64      8       SKIP  SKIP  181.636     20.761      
scale   scale_tensara_4   basic         4096      8192      64      16      SKIP  SKIP  118.652     10.667      
scale   scale_tensara_4   basic         4096      8192      64      32      SKIP  SKIP  87.689      5.542       
scale   scale_tensara_4   basic         4096      8192      64      64      SKIP  SKIP  74.344      3.015       
scale   scale_tensara_4   basic         4096      8192      64      128     SKIP  SKIP  84.176      1.859       
scale   scale_tensara_4   basic         4096      8192      128     8       SKIP  SKIP  142.178     10.672      
scale   scale_tensara_4   basic         4096      8192      128     16      SKIP  SKIP  119.015     5.556       
scale   scale_tensara_4   basic         4096      8192      128     32      SKIP  SKIP  92.912      3.011       
scale   scale_tensara_4   basic         4096      8192      128     64      SKIP  SKIP  77.791      1.861       
scale   scale_tensara_4   basic         4096      8192      128     128     SKIP  SKIP  74.910      1.556       
scale   scale_tensara_4   basic         4096      8192      256     8       SKIP  SKIP  96.612      5.551       
scale   scale_tensara_4   basic         4096      8192      256     16      SKIP  SKIP  81.075      3.011       
scale   scale_tensara_4   basic         4096      8192      256     32      SKIP  SKIP  64.564      1.864       
scale   scale_tensara_4   basic         4096      8192      256     64      SKIP  SKIP  62.919      1.559       
scale   scale_tensara_4   basic         4096      8192      256     128     SKIP  SKIP  63.449      1.746       
scale   scale_tensara_4   basic         4096      8192      512     8       SKIP  SKIP  76.769      3.000       
scale   scale_tensara_4   basic         4096      8192      512     16      SKIP  SKIP  67.974      1.858       
scale   scale_tensara_4   basic         4096      8192      512     32      SKIP  SKIP  69.900      1.556       
scale   scale_tensara_4   basic         4096      8192      512     64      SKIP  SKIP  66.710      1.748       
scale   scale_tensara_4   basic         4096      8192      512     128     SKIP  SKIP  59.587      1.620       
scale   scale_tensara_5   basic         8192      8192      64      8       SKIP  SKIP  365.212     41.506      
scale   scale_tensara_5   basic         8192      8192      64      16      SKIP  SKIP  238.595     21.249      
