Timing samples: mode=median repeats=5 warmup_rounds=5
CPU reference implemented: yes
GPU kernel implemented: yes

group     name                    kernel    N             block   grid    cpu     gpu     kernel_ms   
sweep     N=16777216              basic     16777216      128     16      SKIP    SKIP    3.092       
sweep     N=16777216              basic     16777216      128     32      SKIP    SKIP    1.699       
sweep     N=16777216              basic     16777216      128     64      SKIP    SKIP    1.208       
sweep     N=16777216              basic     16777216      128     128     SKIP    SKIP    1.138       
sweep     N=16777216              basic     16777216      256     8       SKIP    SKIP    3.107       
sweep     N=16777216              basic     16777216      256     16      SKIP    SKIP    1.705       
sweep     N=16777216              basic     16777216      256     32      SKIP    SKIP    1.217       
sweep     N=16777216              basic     16777216      256     64      SKIP    SKIP    1.120       
sweep     N=16777216              basic     16777216      256     128     SKIP    SKIP    1.244       
sweep     N=16777216              basic     16777216      512     8       SKIP    SKIP    1.712       
sweep     N=16777216              basic     16777216      512     16      SKIP    SKIP    1.214       
sweep     N=16777216              basic     16777216      512     32      SKIP    SKIP    1.121       
sweep     N=16777216              basic     16777216      512     64      SKIP    SKIP    1.256       
sweep     N=16777216              basic     16777216      512     128     SKIP    SKIP    1.164       
sweep     N=16777216              float4    16777216      64      8       SKIP    SKIP    3.155       
sweep     N=16777216              float4    16777216      64      16      SKIP    SKIP    1.783       
sweep     N=16777216              float4    16777216      64      32      SKIP    SKIP    1.213       
sweep     N=16777216              float4    16777216      64      64      SKIP    SKIP    1.112       
sweep     N=16777216              float4    16777216      64      128     SKIP    SKIP    1.124       
sweep     N=16777216              float4    16777216      128     8       SKIP    SKIP    1.791       
sweep     N=16777216              float4    16777216      128     16      SKIP    SKIP    1.212       
sweep     N=16777216              float4    16777216      128     32      SKIP    SKIP    1.108       
sweep     N=16777216              float4    16777216      128     64      SKIP    SKIP    1.123       
sweep     N=16777216              float4    16777216      128     128     SKIP    SKIP    1.127       
sweep     N=16777216              float4    16777216      256     8       SKIP    SKIP    1.213       
sweep     N=16777216              float4    16777216      256     16      SKIP    SKIP    1.136       
sweep     N=16777216              float4    16777216      256     32      SKIP    SKIP    1.145       
sweep     N=16777216              float4    16777216      256     64      SKIP    SKIP    1.145       
sweep     N=16777216              float4    16777216      256     128     SKIP    SKIP    1.130       
sweep     N=16777216              float4    16777216      512     8       SKIP    SKIP    1.121       
sweep     N=16777216              float4    16777216      512     16      SKIP    SKIP    1.128       
