Timing samples: mode=median repeats=5 warmup_rounds=5 shuffle_seed=6221076 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group     name                        kernel    H           H_out       K       stride  pad     dil     block   grid    cpu     gpu     total_ms    kernel_ms   
sweep     tensara_2                   basic     4194304     4194303     2       1       0       1       512     64      SKIP    SKIP    0.270       0.270       
sweep     tensara_2                   basic     4194304     4194303     2       1       0       1       512     128     SKIP    SKIP    0.218       0.218       
sweep     tensara_2                   shared    4194304     4194303     2       1       0       1       64      8       SKIP    SKIP    5.348       5.348       
sweep     tensara_2                   shared    4194304     4194303     2       1       0       1       64      16      SKIP    SKIP    2.663       2.663       
sweep     tensara_2                   shared    4194304     4194303     2       1       0       1       64      32      SKIP    SKIP    1.363       1.363       
sweep     tensara_2                   shared    4194304     4194303     2       1       0       1       64      64      SKIP    SKIP    0.701       0.701       
sweep     tensara_2                   shared    4194304     4194303     2       1       0       1       64      128     SKIP    SKIP    0.375       0.375       
sweep     tensara_2                   shared    4194304     4194303     2       1       0       1       128     8       SKIP    SKIP    2.695       2.695       
sweep     tensara_2                   shared    4194304     4194303     2       1       0       1       128     16      SKIP    SKIP    1.381       1.381       
sweep     tensara_2                   shared    4194304     4194303     2       1       0       1       128     32      SKIP    SKIP    0.714       0.714       
sweep     tensara_2                   shared    4194304     4194303     2       1       0       1       128     64      SKIP    SKIP    0.379       0.379       
sweep     tensara_2                   shared    4194304     4194303     2       1       0       1       128     128     SKIP    SKIP    0.224       0.224       
sweep     tensara_2                   shared    4194304     4194303     2       1       0       1       256     8       SKIP    SKIP    1.428       1.428       
sweep     tensara_2                   shared    4194304     4194303     2       1       0       1       256     16      SKIP    SKIP    0.726       0.726       
sweep     tensara_2                   shared    4194304     4194303     2       1       0       1       256     32      SKIP    SKIP    0.387       0.387       
sweep     tensara_2                   shared    4194304     4194303     2       1       0       1       256     64      SKIP    SKIP    0.229       0.229       
sweep     tensara_2                   shared    4194304     4194303     2       1       0       1       256     128     SKIP    SKIP    0.282       0.282       
sweep     tensara_2                   shared    4194304     4194303     2       1       0       1       512     8       SKIP    SKIP    0.769       0.769       
sweep     tensara_2                   shared    4194304     4194303     2       1       0       1       512     16      SKIP    SKIP    0.404       0.404       
sweep     tensara_2                   shared    4194304     4194303     2       1       0       1       512     32      SKIP    SKIP    0.236       0.236       
sweep     tensara_2                   shared    4194304     4194303     2       1       0       1       512     64      SKIP    SKIP    0.292       0.292       
sweep     tensara_2                   shared    4194304     4194303     2       1       0       1       512     128     SKIP    SKIP    0.250       0.250       
sweep     tensara_3                   basic     8388608     4194304     3       2       1       1       64      8       SKIP    SKIP    3.517       3.517       
sweep     tensara_3                   basic     8388608     4194304     3       2       1       1       64      16      SKIP    SKIP    1.781       1.781       
sweep     tensara_3                   basic     8388608     4194304     3       2       1       1       64      32      SKIP    SKIP    0.930       0.930       
sweep     tensara_3                   basic     8388608     4194304     3       2       1       1       64      64      SKIP    SKIP    0.502       0.502       
sweep     tensara_3                   basic     8388608     4194304     3       2       1       1       64      128     SKIP    SKIP    0.317       0.317       
sweep     tensara_3                   basic     8388608     4194304     3       2       1       1       128     8       SKIP    SKIP    1.785       1.785       
sweep     tensara_3                   basic     8388608     4194304     3       2       1       1       128     16      SKIP    SKIP    0.928       0.928       
sweep     tensara_3                   basic     8388608     4194304     3       2       1       1       128     32      SKIP    SKIP    0.505       0.505       
sweep     tensara_3                   basic     8388608     4194304     3       2       1       1       128     64      SKIP    SKIP    0.314       0.314       
sweep     tensara_3                   basic     8388608     4194304     3       2       1       1       128     128     SKIP    SKIP    0.292       0.292       
sweep     tensara_3                   basic     8388608     4194304     3       2       1       1       256     8       SKIP    SKIP    0.934       0.934       
sweep     tensara_3                   basic     8388608     4194304     3       2       1       1       256     16      SKIP    SKIP    0.504       0.504       
sweep     tensara_3                   basic     8388608     4194304     3       2       1       1       256     32      SKIP    SKIP    0.314       0.314       
sweep     tensara_3                   basic     8388608     4194304     3       2       1       1       256     64      SKIP    SKIP    0.292       0.292       
sweep     tensara_3                   basic     8388608     4194304     3       2       1       1       256     128     SKIP    SKIP    0.326       0.326       
sweep     tensara_3                   basic     8388608     4194304     3       2       1       1       512     8       SKIP    SKIP    0.506       0.506       
sweep     tensara_3                   basic     8388608     4194304     3       2       1       1       512     16      SKIP    SKIP    0.317       0.317       
sweep     tensara_3                   basic     8388608     4194304     3       2       1       1       512     32      SKIP    SKIP    0.295       0.295       
sweep     tensara_3                   basic     8388608     4194304     3       2       1       1       512     64      SKIP    SKIP    0.326       0.326       
sweep     tensara_3                   basic     8388608     4194304     3       2       1       1       512     128     SKIP    SKIP    0.300       0.300       
sweep     tensara_3                   shared    8388608     4194304     3       2       1       1       64      8       SKIP    SKIP    7.583       7.583       
sweep     tensara_3                   shared    8388608     4194304     3       2       1       1       64      16      SKIP    SKIP    3.808       3.808       
sweep     tensara_3                   shared    8388608     4194304     3       2       1       1       64      32      SKIP    SKIP    1.935       1.935       
sweep     tensara_3                   shared    8388608     4194304     3       2       1       1       64      64      SKIP    SKIP    1.001       1.001       
sweep     tensara_3                   shared    8388608     4194304     3       2       1       1       64      128     SKIP    SKIP    0.538       0.538       
sweep     tensara_3                   shared    8388608     4194304     3       2       1       1       128     8       SKIP    SKIP    3.848       3.848       
sweep     tensara_3                   shared    8388608     4194304     3       2       1       1       128     16      SKIP    SKIP    1.960       1.960       
sweep     tensara_3                   shared    8388608     4194304     3       2       1       1       128     32      SKIP    SKIP    1.001       1.001       
sweep     tensara_3                   shared    8388608     4194304     3       2       1       1       128     64      SKIP    SKIP    0.538       0.538       
sweep     tensara_3                   shared    8388608     4194304     3       2       1       1       128     128     SKIP    SKIP    0.323       0.323       
sweep     tensara_3                   shared    8388608     4194304     3       2       1       1       256     8       SKIP    SKIP    1.995       1.995       
sweep     tensara_3                   shared    8388608     4194304     3       2       1       1       256     16      SKIP    SKIP    1.024       1.024       
sweep     tensara_3                   shared    8388608     4194304     3       2       1       1       256     32      SKIP    SKIP    0.553       0.553       
sweep     tensara_3                   shared    8388608     4194304     3       2       1       1       256     64      SKIP    SKIP    0.333       0.333       
sweep     tensara_3                   shared    8388608     4194304     3       2       1       1       256     128     SKIP    SKIP    0.398       0.398       
sweep     tensara_3                   shared    8388608     4194304     3       2       1       1       512     8       SKIP    SKIP    1.087       1.087       
sweep     tensara_3                   shared    8388608     4194304     3       2       1       1       512     16      SKIP    SKIP    0.573       0.573       
sweep     tensara_3                   shared    8388608     4194304     3       2       1       1       512     32      SKIP    SKIP    0.341       0.341       
sweep     tensara_3                   shared    8388608     4194304     3       2       1       1       512     64      SKIP    SKIP    0.395       0.395       
sweep     tensara_3                   shared    8388608     4194304     3       2       1       1       512     128     SKIP    SKIP    0.338       0.338       
sweep     tensara_4                   basic     16777216    8388606     4       2       1       2       64      8       SKIP    SKIP    8.951       8.951       
sweep     tensara_4                   basic     16777216    8388606     4       2       1       2       64      16      SKIP    SKIP    4.518       4.518       
sweep     tensara_4                   basic     16777216    8388606     4       2       1       2       64      32      SKIP    SKIP    2.315       2.315       
sweep     tensara_4                   basic     16777216    8388606     4       2       1       2       64      64      SKIP    SKIP    1.218       1.218       
sweep     tensara_4                   basic     16777216    8388606     4       2       1       2       64      128     SKIP    SKIP    0.685       0.685       
sweep     tensara_4                   basic     16777216    8388606     4       2       1       2       128     8       SKIP    SKIP    4.492       4.492       
sweep     tensara_4                   basic     16777216    8388606     4       2       1       2       128     16      SKIP    SKIP    2.295       2.295       
sweep     tensara_4                   basic     16777216    8388606     4       2       1       2       128     32      SKIP    SKIP    1.209       1.209       
sweep     tensara_4                   basic     16777216    8388606     4       2       1       2       128     64      SKIP    SKIP    0.680       0.680       
sweep     tensara_4                   basic     16777216    8388606     4       2       1       2       128     128     SKIP    SKIP    0.637       0.637       
sweep     tensara_4                   basic     16777216    8388606     4       2       1       2       256     8       SKIP    SKIP    2.335       2.335       
sweep     tensara_4                   basic     16777216    8388606     4       2       1       2       256     16      SKIP    SKIP    1.212       1.212       
sweep     tensara_4                   basic     16777216    8388606     4       2       1       2       256     32      SKIP    SKIP    0.679       0.679       
sweep     tensara_4                   basic     16777216    8388606     4       2       1       2       256     64      SKIP    SKIP    0.636       0.636       
sweep     tensara_4                   basic     16777216    8388606     4       2       1       2       256     128     SKIP    SKIP    0.707       0.707       
sweep     tensara_4                   basic     16777216    8388606     4       2       1       2       512     8       SKIP    SKIP    1.219       1.219       
sweep     tensara_4                   basic     16777216    8388606     4       2       1       2       512     16      SKIP    SKIP    0.687       0.687       
sweep     tensara_4                   basic     16777216    8388606     4       2       1       2       512     32      SKIP    SKIP    0.641       0.641       
sweep     tensara_4                   basic     16777216    8388606     4       2       1       2       512     64      SKIP    SKIP    0.705       0.705       
sweep     tensara_4                   basic     16777216    8388606     4       2       1       2       512     128     SKIP    SKIP    0.614       0.614       
sweep     tensara_4                   shared    16777216    8388606     4       2       1       2       64      8       SKIP    SKIP    15.977      15.977      
sweep     tensara_4                   shared    16777216    8388606     4       2       1       2       64      16      SKIP    SKIP    8.059       8.059       
sweep     tensara_4                   shared    16777216    8388606     4       2       1       2       64      32      SKIP    SKIP    4.089       4.089       
sweep     tensara_4                   shared    16777216    8388606     4       2       1       2       64      64      SKIP    SKIP    2.106       2.106       
sweep     tensara_4                   shared    16777216    8388606     4       2       1       2       64      128     SKIP    SKIP    1.110       1.110       
sweep     tensara_4                   shared    16777216    8388606     4       2       1       2       128     8       SKIP    SKIP    8.116       8.116       
sweep     tensara_4                   shared    16777216    8388606     4       2       1       2       128     16      SKIP    SKIP    4.116       4.116       
sweep     tensara_4                   shared    16777216    8388606     4       2       1       2       128     32      SKIP    SKIP    2.109       2.109       
sweep     tensara_4                   shared    16777216    8388606     4       2       1       2       128     64      SKIP    SKIP    1.153       1.153       
