Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms

group   name            kernel      rows      cols      alpha   block_x grid_x  cpu   gpu   total_ms    kernel_ms   
scale   scale_tensara_2 float4      4096      4096      0.050   128     32      SKIP  SKIP  37.787      0.786       
scale   scale_tensara_2 float4      4096      4096      0.050   128     64      SKIP  SKIP  29.643      0.755       
scale   scale_tensara_2 float4      4096      4096      0.050   128     128     SKIP  SKIP  32.257      0.752       
scale   scale_tensara_2 float4      4096      4096      0.050   256     8       SKIP  SKIP  33.722      0.976       
scale   scale_tensara_2 float4      4096      4096      0.050   256     16      SKIP  SKIP  30.706      0.779       
scale   scale_tensara_2 float4      4096      4096      0.050   256     32      SKIP  SKIP  37.742      0.753       
scale   scale_tensara_2 float4      4096      4096      0.050   256     64      SKIP  SKIP  29.791      0.753       
scale   scale_tensara_2 float4      4096      4096      0.050   256     128     SKIP  SKIP  32.266      0.762       
scale   scale_tensara_2 float4      4096      4096      0.050   512     8       SKIP  SKIP  28.555      0.776       
scale   scale_tensara_2 float4      4096      4096      0.050   512     16      SKIP  SKIP  33.646      0.755       
scale   scale_tensara_2 float4      4096      4096      0.050   512     32      SKIP  SKIP  31.245      0.754       
scale   scale_tensara_2 float4      4096      4096      0.050   512     64      SKIP  SKIP  32.072      0.760       
scale   scale_tensara_2 float4      4096      4096      0.050   512     128     SKIP  SKIP  29.804      0.752       
scale   scale_tensara_3 float4      4096      4096      0.100   64      8       SKIP  SKIP  40.294      2.910       
scale   scale_tensara_3 float4      4096      4096      0.100   64      16      SKIP  SKIP  37.975      1.605       
scale   scale_tensara_3 float4      4096      4096      0.100   64      32      SKIP  SKIP  31.312      0.974       
scale   scale_tensara_3 float4      4096      4096      0.100   64      64      SKIP  SKIP  33.249      0.780       
scale   scale_tensara_3 float4      4096      4096      0.100   64      128     SKIP  SKIP  27.360      0.753       
scale   scale_tensara_3 float4      4096      4096      0.100   128     8       SKIP  SKIP  35.975      1.596       
scale   scale_tensara_3 float4      4096      4096      0.100   128     16      SKIP  SKIP  29.957      0.972       
scale   scale_tensara_3 float4      4096      4096      0.100   128     32      SKIP  SKIP  37.761      0.778       
scale   scale_tensara_3 float4      4096      4096      0.100   128     64      SKIP  SKIP  30.241      0.754       
scale   scale_tensara_3 float4      4096      4096      0.100   128     128     SKIP  SKIP  26.598      0.754       
scale   scale_tensara_3 float4      4096      4096      0.100   256     8       SKIP  SKIP  41.641      0.966       
scale   scale_tensara_3 float4      4096      4096      0.100   256     16      SKIP  SKIP  43.508      0.780       
scale   scale_tensara_3 float4      4096      4096      0.100   256     32      SKIP  SKIP  46.466      0.753       
scale   scale_tensara_3 float4      4096      4096      0.100   256     64      SKIP  SKIP  34.688      0.755       
scale   scale_tensara_3 float4      4096      4096      0.100   256     128     SKIP  SKIP  30.208      0.763       
scale   scale_tensara_3 float4      4096      4096      0.100   512     8       SKIP  SKIP  33.198      0.780       
scale   scale_tensara_3 float4      4096      4096      0.100   512     16      SKIP  SKIP  29.652      0.755       
scale   scale_tensara_3 float4      4096      4096      0.100   512     32      SKIP  SKIP  33.092      0.754       
scale   scale_tensara_3 float4      4096      4096      0.100   512     64      SKIP  SKIP  30.803      0.762       
scale   scale_tensara_3 float4      4096      4096      0.100   512     128     SKIP  SKIP  31.359      0.751       
scale   scale_tensara_4 float4      4096      4096      0.200   64      8       SKIP  SKIP  51.005      2.924       
scale   scale_tensara_4 float4      4096      4096      0.200   64      16      SKIP  SKIP  37.657      1.605       
scale   scale_tensara_4 float4      4096      4096      0.200   64      32      SKIP  SKIP  31.198      0.971       
scale   scale_tensara_4 float4      4096      4096      0.200   64      64      SKIP  SKIP  29.820      0.777       
scale   scale_tensara_4 float4      4096      4096      0.200   64      128     SKIP  SKIP  32.556      0.753       
scale   scale_tensara_4 float4      4096      4096      0.200   128     8       SKIP  SKIP  35.191      1.594       
scale   scale_tensara_4 float4      4096      4096      0.200   128     16      SKIP  SKIP  32.297      0.969       
scale   scale_tensara_4 float4      4096      4096      0.200   128     32      SKIP  SKIP  29.972      0.775       
scale   scale_tensara_4 float4      4096      4096      0.200   128     64      SKIP  SKIP  31.102      0.753       
scale   scale_tensara_4 float4      4096      4096      0.200   128     128     SKIP  SKIP  32.517      0.753       
scale   scale_tensara_4 float4      4096      4096      0.200   256     8       SKIP  SKIP  32.749      0.970       
scale   scale_tensara_4 float4      4096      4096      0.200   256     16      SKIP  SKIP  29.377      0.779       
scale   scale_tensara_4 float4      4096      4096      0.200   256     32      SKIP  SKIP  31.078      0.754       
scale   scale_tensara_4 float4      4096      4096      0.200   256     64      SKIP  SKIP  28.976      0.754       
scale   scale_tensara_4 float4      4096      4096      0.200   256     128     SKIP  SKIP  32.296      0.763       
scale   scale_tensara_4 float4      4096      4096      0.200   512     8       SKIP  SKIP  29.360      0.777       
scale   scale_tensara_4 float4      4096      4096      0.200   512     16      SKIP  SKIP  38.090      0.753       
scale   scale_tensara_4 float4      4096      4096      0.200   512     32      SKIP  SKIP  28.818      0.753       
scale   scale_tensara_4 float4      4096      4096      0.200   512     64      SKIP  SKIP  31.754      0.761       
scale   scale_tensara_4 float4      4096      4096      0.200   512     128     SKIP  SKIP  30.717      0.751       
scale   scale_tensara_5 float4      6144      4096      0.010   64      8       SKIP  SKIP  70.073      4.379       
scale   scale_tensara_5 float4      6144      4096      0.010   64      16      SKIP  SKIP  53.840      2.387       
scale   scale_tensara_5 float4      6144      4096      0.010   64      32      SKIP  SKIP  45.377      1.432       
scale   scale_tensara_5 float4      6144      4096      0.010   64      64      SKIP  SKIP  44.704      1.161       
scale   scale_tensara_5 float4      6144      4096      0.010   64      128     SKIP  SKIP  46.169      1.125       
scale   scale_tensara_5 float4      6144      4096      0.010   128     8       SKIP  SKIP  53.525      2.375       
scale   scale_tensara_5 float4      6144      4096      0.010   128     16      SKIP  SKIP  50.197      1.427       
scale   scale_tensara_5 float4      6144      4096      0.010   128     32      SKIP  SKIP  43.914      1.159       
scale   scale_tensara_5 float4      6144      4096      0.010   128     64      SKIP  SKIP  46.668      1.126       
scale   scale_tensara_5 float4      6144      4096      0.010   128     128     SKIP  SKIP  47.792      1.125       
scale   scale_tensara_5 float4      6144      4096      0.010   256     8       SKIP  SKIP  45.244      1.428       
scale   scale_tensara_5 float4      6144      4096      0.010   256     16      SKIP  SKIP  47.264      1.161       
scale   scale_tensara_5 float4      6144      4096      0.010   256     32      SKIP  SKIP  49.875      1.127       
scale   scale_tensara_5 float4      6144      4096      0.010   256     64      SKIP  SKIP  46.499      1.122       
scale   scale_tensara_5 float4      6144      4096      0.010   256     128     SKIP  SKIP  46.890      1.139       
scale   scale_tensara_5 float4      6144      4096      0.010   512     8       SKIP  SKIP  54.781      1.162       
scale   scale_tensara_5 float4      6144      4096      0.010   512     16      SKIP  SKIP  44.344      1.126       
scale   scale_tensara_5 float4      6144      4096      0.010   512     32      SKIP  SKIP  53.933      1.125       
scale   scale_tensara_5 float4      6144      4096      0.010   512     64      SKIP  SKIP  49.706      1.138       
scale   scale_tensara_5 float4      6144      4096      0.010   512     128     SKIP  SKIP  45.331      1.121       
scale   scale_tensara_6 float4      6144      4096      0.050   64      8       SKIP  SKIP  66.611      4.371       
scale   scale_tensara_6 float4      6144      4096      0.050   64      16      SKIP  SKIP  51.163      2.390       
scale   scale_tensara_6 float4      6144      4096      0.050   64      32      SKIP  SKIP  49.133      1.435       
scale   scale_tensara_6 float4      6144      4096      0.050   64      64      SKIP  SKIP  50.091      1.162       
scale   scale_tensara_6 float4      6144      4096      0.050   64      128     SKIP  SKIP  45.119      1.127       
scale   scale_tensara_6 float4      6144      4096      0.050   128     8       SKIP  SKIP  52.846      2.380       
scale   scale_tensara_6 float4      6144      4096      0.050   128     16      SKIP  SKIP  43.259      1.433       
scale   scale_tensara_6 float4      6144      4096      0.050   128     32      SKIP  SKIP  46.617      1.159       
scale   scale_tensara_6 float4      6144      4096      0.050   128     64      SKIP  SKIP  50.924      1.125       
scale   scale_tensara_6 float4      6144      4096      0.050   128     128     SKIP  SKIP  42.078      1.123       
scale   scale_tensara_6 float4      6144      4096      0.050   256     8       SKIP  SKIP  45.056      1.427       
scale   scale_tensara_6 float4      6144      4096      0.050   256     16      SKIP  SKIP  53.762      1.161       
scale   scale_tensara_6 float4      6144      4096      0.050   256     32      SKIP  SKIP  48.584      1.126       
scale   scale_tensara_6 float4      6144      4096      0.050   256     64      SKIP  SKIP  50.152      1.127       
scale   scale_tensara_6 float4      6144      4096      0.050   256     128     SKIP  SKIP  42.863      1.138       
scale   scale_tensara_6 float4      6144      4096      0.050   512     8       SKIP  SKIP  50.006      1.159       
scale   scale_tensara_6 float4      6144      4096      0.050   512     16      SKIP  SKIP  41.954      1.124       
scale   scale_tensara_6 float4      6144      4096      0.050   512     32      SKIP  SKIP  47.199      1.128       
scale   scale_tensara_6 float4      6144      4096      0.050   512     64      SKIP  SKIP  54.047      1.138       
scale   scale_tensara_6 float4      6144      4096      0.050   512     128     SKIP  SKIP  43.569      1.119       
scale   scale_tensara_7 float4      6144      4096      0.100   64      8       SKIP  SKIP  65.846      4.366       
scale   scale_tensara_7 float4      6144      4096      0.100   64      16      SKIP  SKIP  54.386      2.385       
scale   scale_tensara_7 float4      6144      4096      0.100   64      32      SKIP  SKIP  46.040      1.436       
scale   scale_tensara_7 float4      6144      4096      0.100   64      64      SKIP  SKIP  49.426      1.160       
scale   scale_tensara_7 float4      6144      4096      0.100   64      128     SKIP  SKIP  50.271      1.127       
scale   scale_tensara_7 float4      6144      4096      0.100   128     8       SKIP  SKIP  56.708      2.378       
scale   scale_tensara_7 float4      6144      4096      0.100   128     16      SKIP  SKIP  51.486      1.431       
scale   scale_tensara_7 float4      6144      4096      0.100   128     32      SKIP  SKIP  49.279      1.161       
scale   scale_tensara_7 float4      6144      4096      0.100   128     64      SKIP  SKIP  43.713      1.124       
scale   scale_tensara_7 float4      6144      4096      0.100   128     128     SKIP  SKIP  48.271      1.123       
scale   scale_tensara_7 float4      6144      4096      0.100   256     8       SKIP  SKIP  48.557      1.428       
scale   scale_tensara_7 float4      6144      4096      0.100   256     16      SKIP  SKIP  46.687      1.161       
scale   scale_tensara_7 float4      6144      4096      0.100   256     32      SKIP  SKIP  52.929      1.125       
scale   scale_tensara_7 float4      6144      4096      0.100   256     64      SKIP  SKIP  53.777      1.125       
scale   scale_tensara_7 float4      6144      4096      0.100   256     128     SKIP  SKIP  45.315      1.138       
scale   scale_tensara_7 float4      6144      4096      0.100   512     8       SKIP  SKIP  45.308      1.161       
scale   scale_tensara_7 float4      6144      4096      0.100   512     16      SKIP  SKIP  49.065      1.127       
scale   scale_tensara_7 float4      6144      4096      0.100   512     32      SKIP  SKIP  46.240      1.127       
scale   scale_tensara_7 float4      6144      4096      0.100   512     64      SKIP  SKIP  49.741      1.136       
scale   scale_tensara_7 float4      6144      4096      0.100   512     128     SKIP  SKIP  54.132      1.119       
scale   scale_tensara_8 float4      6144      4096      0.200   64      8       SKIP  SKIP  62.825      4.379       
scale   scale_tensara_8 float4      6144      4096      0.200   64      16      SKIP  SKIP  56.419      2.381       
scale   scale_tensara_8 float4      6144      4096      0.200   64      32      SKIP  SKIP  47.432      1.428       
scale   scale_tensara_8 float4      6144      4096      0.200   64      64      SKIP  SKIP  57.023      1.162       
scale   scale_tensara_8 float4      6144      4096      0.200   64      128     SKIP  SKIP  51.807      1.125       
scale   scale_tensara_8 float4      6144      4096      0.200   128     8       SKIP  SKIP  105.358     2.376       
scale   scale_tensara_8 float4      6144      4096      0.200   128     16      SKIP  SKIP  47.330      1.427       
scale   scale_tensara_8 float4      6144      4096      0.200   128     32      SKIP  SKIP  47.470      1.163       
scale   scale_tensara_8 float4      6144      4096      0.200   128     64      SKIP  SKIP  45.508      1.126       
scale   scale_tensara_8 float4      6144      4096      0.200   128     128     SKIP  SKIP  53.446      1.124       
scale   scale_tensara_8 float4      6144      4096      0.200   256     8       SKIP  SKIP  44.319      1.430       
scale   scale_tensara_8 float4      6144      4096      0.200   256     16      SKIP  SKIP  46.524      1.160       
scale   scale_tensara_8 float4      6144      4096      0.200   256     32      SKIP  SKIP  46.157      1.125       
scale   scale_tensara_8 float4      6144      4096      0.200   256     64      SKIP  SKIP  46.221      1.126       
scale   scale_tensara_8 float4      6144      4096      0.200   256     128     SKIP  SKIP  50.852      1.136       
scale   scale_tensara_8 float4      6144      4096      0.200   512     8       SKIP  SKIP  46.418      1.161       
scale   scale_tensara_8 float4      6144      4096      0.200   512     16      SKIP  SKIP  46.766      1.125       
scale   scale_tensara_8 float4      6144      4096      0.200   512     32      SKIP  SKIP  60.754      1.127       
scale   scale_tensara_8 float4      6144      4096      0.200   512     64      SKIP  SKIP  53.084      1.138       
scale   scale_tensara_8 float4      6144      4096      0.200   512     128     SKIP  SKIP  52.911      1.120       
shape   shape_rect      float4      2049      4097      0.100   256     64      SKIP  SKIP  16.820      0.381       
shape   shape_wide      float4      1024      8192      0.050   256     64      SKIP  SKIP  16.740      0.379       
shape   shape_tall      float4      8192      1024      0.200   256     64      SKIP  SKIP  17.448      0.379       
shape   shape_tail      float4      4097      8193      0.010   256     64      SKIP  SKIP  56.918      1.502       
tail    tail_1          float4      2049      2049      0.010   256     64      SKIP  SKIP  8.732       0.193       
tail    tail_2          float4      3073      4097      0.050   256     64      SKIP  SKIP  25.136      0.564       
tail    tail_3          float4      4097      8193      0.100   256     64      SKIP  SKIP  59.385      1.502       
scale   scale_sq        float4      4096      4096      0.010   64      8       SKIP  SKIP  40.453      2.914       
scale   scale_sq        float4      4096      4096      0.010   64      16      SKIP  SKIP  41.366      1.939       
scale   scale_sq        float4      4096      4096      0.010   64      32      SKIP  SKIP  32.436      1.103       
scale   scale_sq        float4      4096      4096      0.010   64      64      SKIP  SKIP  32.652      0.794       
scale   scale_sq        float4      4096      4096      0.010   64      128     SKIP  SKIP  30.949      0.754       
scale   scale_sq        float4      4096      4096      0.010   128     8       SKIP  SKIP  38.417      1.720       
scale   scale_sq        float4      4096      4096      0.010   128     16      SKIP  SKIP  36.996      1.015       
scale   scale_sq        float4      4096      4096      0.010   128     32      SKIP  SKIP  34.603      0.785       
scale   scale_sq        float4      4096      4096      0.010   128     64      SKIP  SKIP  32.152      0.755       
scale   scale_sq        float4      4096      4096      0.010   128     128     SKIP  SKIP  36.129      0.752       
scale   scale_sq        float4      4096      4096      0.010   256     8       SKIP  SKIP  37.629      1.001       
scale   scale_sq        float4      4096      4096      0.010   256     16      SKIP  SKIP  31.754      0.783       
scale   scale_sq        float4      4096      4096      0.010   256     32      SKIP  SKIP  33.286      0.755       
scale   scale_sq        float4      4096      4096      0.010   256     64      SKIP  SKIP  30.517      0.754       
scale   scale_sq        float4      4096      4096      0.010   256     128     SKIP  SKIP  32.597      0.763       
scale   scale_sq        float4      4096      4096      0.010   512     8       SKIP  SKIP  36.531      0.778       
scale   scale_sq        float4      4096      4096      0.010   512     16      SKIP  SKIP  29.076      0.755       
scale   scale_sq        float4      4096      4096      0.010   512     32      SKIP  SKIP  32.749      0.752       
scale   scale_sq        float4      4096      4096      0.010   512     64      SKIP  SKIP  31.847      0.761       
scale   scale_sq        float4      4096      4096      0.010   512     128     SKIP  SKIP  31.741      0.750       
scale   scale_rect_1    float4      6144      4096      0.100   64      8       SKIP  SKIP  68.684      4.367       
scale   scale_rect_1    float4      6144      4096      0.100   64      16      SKIP  SKIP  53.834      2.382       
scale   scale_rect_1    float4      6144      4096      0.100   64      32      SKIP  SKIP  49.167      1.437       
scale   scale_rect_1    float4      6144      4096      0.100   64      64      SKIP  SKIP  51.286      1.162       
scale   scale_rect_1    float4      6144      4096      0.100   64      128     SKIP  SKIP  52.550      1.128       
scale   scale_rect_1    float4      6144      4096      0.100   128     8       SKIP  SKIP  54.911      2.381       
scale   scale_rect_1    float4      6144      4096      0.100   128     16      SKIP  SKIP  47.609      1.434       
scale   scale_rect_1    float4      6144      4096      0.100   128     32      SKIP  SKIP  41.113      1.164       
scale   scale_rect_1    float4      6144      4096      0.100   128     64      SKIP  SKIP  44.930      1.126       
scale   scale_rect_1    float4      6144      4096      0.100   128     128     SKIP  SKIP  46.121      1.124       
scale   scale_rect_1    float4      6144      4096      0.100   256     8       SKIP  SKIP  53.404      1.432       
scale   scale_rect_1    float4      6144      4096      0.100   256     16      SKIP  SKIP  42.649      1.163       
scale   scale_rect_1    float4      6144      4096      0.100   256     32      SKIP  SKIP  45.838      1.129       
scale   scale_rect_1    float4      6144      4096      0.100   256     64      SKIP  SKIP  47.041      1.125       
scale   scale_rect_1    float4      6144      4096      0.100   256     128     SKIP  SKIP  53.050      1.138       
scale   scale_rect_1    float4      6144      4096      0.100   512     8       SKIP  SKIP  45.879      1.161       
scale   scale_rect_1    float4      6144      4096      0.100   512     16      SKIP  SKIP  52.880      1.128       
scale   scale_rect_1    float4      6144      4096      0.100   512     32      SKIP  SKIP  54.492      1.127       
scale   scale_rect_1    float4      6144      4096      0.100   512     64      SKIP  SKIP  46.505      1.136       
scale   scale_rect_1    float4      6144      4096      0.100   512     128     SKIP  SKIP  49.440      1.121       
scale   scale_rect_2    float4      4096      8192      0.050   64      8       SKIP  SKIP  86.507      5.819       
scale   scale_rect_2    float4      4096      8192      0.050   64      16      SKIP  SKIP  68.454      3.175       
scale   scale_rect_2    float4      4096      8192      0.050   64      32      SKIP  SKIP  92.092      1.883       
scale   scale_rect_2    float4      4096      8192      0.050   64      64      SKIP  SKIP  139.854     1.540       
scale   scale_rect_2    float4      4096      8192      0.050   64      128     SKIP  SKIP  76.322      1.502       
scale   scale_rect_2    float4      4096      8192      0.050   128     8       SKIP  SKIP  75.688      3.164       
scale   scale_rect_2    float4      4096      8192      0.050   128     16      SKIP  SKIP  141.783     1.881       
scale   scale_rect_2    float4      4096      8192      0.050   128     32      SKIP  SKIP  115.563     1.541       
scale   scale_rect_2    float4      4096      8192      0.050   128     64      SKIP  SKIP  76.192      1.502       
scale   scale_rect_2    float4      4096      8192      0.050   128     128     SKIP  SKIP  57.103      1.502       
scale   scale_rect_2    float4      4096      8192      0.050   256     8       SKIP  SKIP  60.775      1.881       
scale   scale_rect_2    float4      4096      8192      0.050   256     16      SKIP  SKIP  60.595      1.541       
scale   scale_rect_2    float4      4096      8192      0.050   256     32      SKIP  SKIP  65.391      1.506       
scale   scale_rect_2    float4      4096      8192      0.050   256     64      SKIP  SKIP  69.089      1.500       
scale   scale_rect_2    float4      4096      8192      0.050   256     128     SKIP  SKIP  54.203      1.518       
scale   scale_rect_2    float4      4096      8192      0.050   512     8       SKIP  SKIP  57.773      1.543       
scale   scale_rect_2    float4      4096      8192      0.050   512     16      SKIP  SKIP  61.414      1.502       
scale   scale_rect_2    float4      4096      8192      0.050   512     32      SKIP  SKIP  103.583     1.500       
scale   scale_rect_2    float4      4096      8192      0.050   512     64      SKIP  SKIP  80.057      1.516       
scale   scale_rect_2    float4      4096      8192      0.050   512     128     SKIP  SKIP  55.617      1.497       

Scaling Heatmaps (kernel_ms, lower is better)
============================================================

scale_tensara_1 / basic  best=(256, 64) -> 0.782 ms
block\grid8         16        32        64        128       
64        12.262    6.191     2.815     1.528     0.949     
128       5.411     2.826     1.525     0.948     0.783     
256       2.817     1.536     0.950     0.782     0.878     
512       1.529     0.950     0.784     0.881     0.814     

scale_tensara_1 / float4  best=(512, 128) -> 0.752 ms
block\grid8         16        32        64        128       
64        4.439     2.294     1.209     0.818     0.756     
128       2.013     1.140     0.799     0.756     0.757     
256       1.048     0.786     0.755     0.756     0.767     
512       0.791     0.755     0.756     0.767     0.752     

scale_tensara_2 / basic  best=(128, 128) -> 0.781 ms
block\grid8         16        32        64        128       
64        10.600    5.389     2.818     1.532     0.951     
128       5.406     2.825     1.528     0.950     0.781     
256       2.818     1.533     0.948     0.784     0.881     
512       1.529     0.946     0.782     0.880     0.803     

scale_tensara_2 / float4  best=(128, 128) -> 0.752 ms
block\grid8         16        32        64        128       
64        3.388     1.786     1.042     0.785     0.754     
128       1.785     1.042     0.786     0.755     0.752     
256       0.976     0.779     0.753     0.753     0.762     
512       0.776     0.755     0.754     0.760     0.752     

scale_tensara_3 / basic  best=(128, 128) -> 0.782 ms
block\grid8         16        32        64        128       
64        10.605    5.396     2.815     1.533     0.951     
128       5.409     2.827     1.530     0.946     0.782     
256       2.816     1.535     0.951     0.783     0.880     
512       1.526     0.949     0.783     0.882     0.842     

scale_tensara_3 / float4  best=(512, 128) -> 0.751 ms
block\grid8         16        32        64        128       
64        2.910     1.605     0.974     0.780     0.753     
128       1.596     0.972     0.778     0.754     0.754     
256       0.966     0.780     0.753     0.755     0.763     
512       0.780     0.755     0.754     0.762     0.751     

scale_tensara_4 / basic  best=(256, 64) -> 0.781 ms
block\grid8         16        32        64        128       
64        10.593    5.394     2.816     1.528     0.949     
128       5.414     2.826     1.530     0.951     0.783     
256       2.818     1.534     0.950     0.781     0.879     
512       1.527     0.951     0.781     0.882     0.835     

scale_tensara_4 / float4  best=(512, 128) -> 0.751 ms
block\grid8         16        32        64        128       
64        2.924     1.605     0.971     0.777     0.753     
128       1.594     0.969     0.775     0.753     0.753     
256       0.970     0.779     0.754     0.754     0.763     
512       0.777     0.753     0.753     0.761     0.751     

scale_tensara_5 / basic  best=(128, 128) -> 1.170 ms
block\grid8         16        32        64        128       
64        15.899    8.106     4.225     2.284     1.414     
128       8.129     4.225     2.284     1.416     1.170     
256       4.219     2.287     1.416     1.170     1.452     
512       2.278     1.416     1.170     1.475     1.197     

scale_tensara_5 / float4  best=(512, 128) -> 1.121 ms
block\grid8         16        32        64        128       
64        4.379     2.387     1.432     1.161     1.125     
128       2.375     1.427     1.159     1.126     1.125     
256       1.428     1.161     1.127     1.122     1.139     
512       1.162     1.126     1.125     1.138     1.121     

scale_tensara_6 / basic  best=(512, 32) -> 1.170 ms
block\grid8         16        32        64        128       
64        15.877    8.109     4.223     2.277     1.409     
128       8.125     4.225     2.278     1.412     1.172     
256       4.219     2.293     1.417     1.172     1.482     
512       2.275     1.413     1.170     1.470     1.198     

scale_tensara_6 / float4  best=(512, 128) -> 1.119 ms
block\grid8         16        32        64        128       
64        4.371     2.390     1.435     1.162     1.127     
128       2.380     1.433     1.159     1.125     1.123     
256       1.427     1.161     1.126     1.127     1.138     
512       1.159     1.124     1.128     1.138     1.119     

scale_tensara_7 / basic  best=(128, 128) -> 1.170 ms
block\grid8         16        32        64        128       
64        15.897    8.109     4.227     2.281     1.412     
128       8.125     4.229     2.287     1.411     1.170     
256       4.220     2.286     1.418     1.170     1.489     
512       2.277     1.410     1.175     1.457     1.199     

scale_tensara_7 / float4  best=(512, 128) -> 1.119 ms
block\grid8         16        32        64        128       
64        4.366     2.385     1.436     1.160     1.127     
128       2.378     1.431     1.161     1.124     1.123     
256       1.428     1.161     1.125     1.125     1.138     
512       1.161     1.127     1.127     1.136     1.119     

scale_tensara_8 / basic  best=(256, 64) -> 1.168 ms
block\grid8         16        32        64        128       
64        15.886    8.108     4.224     2.287     1.416     
128       8.127     4.231     2.285     1.418     1.171     
256       4.218     2.291     1.419     1.168     1.458     
512       2.284     1.416     1.171     1.487     1.200     

scale_tensara_8 / float4  best=(512, 128) -> 1.120 ms
block\grid8         16        32        64        128       
64        4.379     2.381     1.428     1.162     1.125     
128       2.376     1.427     1.163     1.126     1.124     
256       1.430     1.160     1.125     1.126     1.136     
512       1.161     1.125     1.127     1.138     1.120     

scale_sq / basic  best=(128, 128) -> 0.779 ms
block\grid8         16        32        64        128       
64        13.402    6.708     2.820     1.531     0.952     
128       5.414     2.825     1.529     0.949     0.779     
256       2.818     1.535     0.951     0.781     0.880     
512       1.529     0.948     0.784     0.882     0.801     

scale_sq / float4  best=(512, 128) -> 0.750 ms
block\grid8         16        32        64        128       
64        2.914     1.939     1.103     0.794     0.754     
128       1.720     1.015     0.785     0.755     0.752     
256       1.001     0.783     0.755     0.754     0.763     
512       0.778     0.755     0.752     0.761     0.750     

scale_rect_1 / basic  best=(128, 128) -> 1.169 ms
block\grid8         16        32        64        128       
64        15.883    8.108     4.233     2.278     1.413     
128       8.124     4.228     2.285     1.416     1.169     
256       4.221     2.284     1.416     1.169     1.494     
512       2.284     1.415     1.171     1.483     1.198     

scale_rect_1 / float4  best=(512, 128) -> 1.121 ms
block\grid8         16        32        64        128       
64        4.367     2.382     1.437     1.162     1.128     
128       2.381     1.434     1.164     1.126     1.124     
256       1.432     1.163     1.129     1.125     1.138     
512       1.161     1.128     1.127     1.136     1.121     

scale_rect_2 / basic  best=(128, 128) -> 1.551 ms
block\grid8         16        32        64        128       
64        21.195    10.850    5.638     3.048     1.872     
128       10.849    5.640     3.055     1.881     1.551     
256       5.668     3.055     1.879     1.555     1.751     
512       3.037     1.876     1.553     1.754     1.675     

scale_rect_2 / float4  best=(512, 128) -> 1.497 ms
block\grid8         16        32        64        128       
64        5.819     3.175     1.883     1.540     1.502     
128       3.164     1.881     1.541     1.502     1.502     
256       1.881     1.541     1.506     1.500     1.518     
512       1.543     1.502     1.500     1.516     1.497     
