Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms

group   name            kernel      rows      cols      alpha   block_x grid_x  cpu   gpu   total_ms    kernel_ms   
scale   scale_tensara_3 basic       4096      4096      0.100   128     64      SKIP  SKIP  31.185      0.946       
scale   scale_tensara_3 basic       4096      4096      0.100   128     128     SKIP  SKIP  30.083      0.782       
scale   scale_tensara_3 basic       4096      4096      0.100   256     8       SKIP  SKIP  45.722      2.816       
scale   scale_tensara_3 basic       4096      4096      0.100   256     16      SKIP  SKIP  33.857      1.535       
scale   scale_tensara_3 basic       4096      4096      0.100   256     32      SKIP  SKIP  32.512      0.951       
scale   scale_tensara_3 basic       4096      4096      0.100   256     64      SKIP  SKIP  33.538      0.783       
scale   scale_tensara_3 basic       4096      4096      0.100   256     128     SKIP  SKIP  29.960      0.880       
scale   scale_tensara_3 basic       4096      4096      0.100   512     8       SKIP  SKIP  32.268      1.526       
scale   scale_tensara_3 basic       4096      4096      0.100   512     16      SKIP  SKIP  28.179      0.949       
scale   scale_tensara_3 basic       4096      4096      0.100   512     32      SKIP  SKIP  28.316      0.783       
scale   scale_tensara_3 basic       4096      4096      0.100   512     64      SKIP  SKIP  30.103      0.882       
scale   scale_tensara_3 basic       4096      4096      0.100   512     128     SKIP  SKIP  30.205      0.842       
scale   scale_tensara_4 basic       4096      4096      0.200   64      8       SKIP  SKIP  89.445      10.593      
scale   scale_tensara_4 basic       4096      4096      0.200   64      16      SKIP  SKIP  57.899      5.394       
scale   scale_tensara_4 basic       4096      4096      0.200   64      32      SKIP  SKIP  40.023      2.816       
scale   scale_tensara_4 basic       4096      4096      0.200   64      64      SKIP  SKIP  35.763      1.528       
scale   scale_tensara_4 basic       4096      4096      0.200   64      128     SKIP  SKIP  34.628      0.949       
scale   scale_tensara_4 basic       4096      4096      0.200   128     8       SKIP  SKIP  55.893      5.414       
scale   scale_tensara_4 basic       4096      4096      0.200   128     16      SKIP  SKIP  51.954      2.826       
scale   scale_tensara_4 basic       4096      4096      0.200   128     32      SKIP  SKIP  42.426      1.530       
scale   scale_tensara_4 basic       4096      4096      0.200   128     64      SKIP  SKIP  33.771      0.951       
scale   scale_tensara_4 basic       4096      4096      0.200   128     128     SKIP  SKIP  30.748      0.783       
scale   scale_tensara_4 basic       4096      4096      0.200   256     8       SKIP  SKIP  44.724      2.818       
scale   scale_tensara_4 basic       4096      4096      0.200   256     16      SKIP  SKIP  36.041      1.534       
scale   scale_tensara_4 basic       4096      4096      0.200   256     32      SKIP  SKIP  33.696      0.950       
scale   scale_tensara_4 basic       4096      4096      0.200   256     64      SKIP  SKIP  29.106      0.781       
scale   scale_tensara_4 basic       4096      4096      0.200   256     128     SKIP  SKIP  37.059      0.879       
scale   scale_tensara_4 basic       4096      4096      0.200   512     8       SKIP  SKIP  42.559      1.527       
scale   scale_tensara_4 basic       4096      4096      0.200   512     16      SKIP  SKIP  40.030      0.951       
scale   scale_tensara_4 basic       4096      4096      0.200   512     32      SKIP  SKIP  43.359      0.781       
scale   scale_tensara_4 basic       4096      4096      0.200   512     64      SKIP  SKIP  35.818      0.882       
scale   scale_tensara_4 basic       4096      4096      0.200   512     128     SKIP  SKIP  30.940      0.835       
