Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms

group   name            kernel    N         K       block_x grid_x  cpu   gpu   total_ms    kernel_ms   
scale   scale_verify    bstride   4097      383     64      32      REF   PASS  0.702       0.023       
scale   scale_verify    bstride_c 4097      383     64      32      REF   PASS  0.625       0.017       
scale   scale_verify    basic     4097      383     64      64      REF   PASS  0.639       0.022       
scale   scale_verify    basic_c   4097      383     64      64      REF   PASS  0.620       0.022       
scale   scale_verify    tiled     4097      383     64      64      REF   PASS  0.728       0.026       
scale   scale_verify    tiled_c   4097      383     64      64      REF   PASS  0.680       0.023       
scale   scale_verify    bstride   4097      383     64      64      REF   PASS  0.636       0.018       
scale   scale_verify    bstride_c 4097      383     64      64      REF   PASS  0.666       0.014       
scale   scale_verify    basic     4097      383     64      128     REF   PASS  0.600       0.017       
scale   scale_verify    basic_c   4097      383     64      128     REF   PASS  0.619       0.019       
scale   scale_verify    tiled     4097      383     64      128     REF   PASS  1.180       0.019       
scale   scale_verify    tiled_c   4097      383     64      128     REF   PASS  0.634       0.015       
scale   scale_verify    bstride   4097      383     64      128     REF   PASS  0.647       0.015       
scale   scale_verify    bstride_c 4097      383     64      128     REF   PASS  0.573       0.011       
scale   scale_verify    basic     4097      383     128     8       REF   PASS  0.855       0.055       
scale   scale_verify    basic_c   4097      383     128     8       REF   PASS  0.892       0.058       
scale   scale_verify    tiled     4097      383     128     8       REF   PASS  0.905       0.063       
scale   scale_verify    tiled_c   4097      383     128     8       REF   PASS  1.142       0.052       
scale   scale_verify    bstride   4097      383     128     8       REF   PASS  0.726       0.037       
scale   scale_verify    bstride_c 4097      383     128     8       REF   PASS  0.686       0.029       
scale   scale_verify    basic     4097      383     128     16      REF   PASS  0.704       0.033       
scale   scale_verify    basic_c   4097      383     128     16      REF   PASS  0.749       0.035       
scale   scale_verify    tiled     4097      383     128     16      REF   PASS  0.788       0.039       
scale   scale_verify    tiled_c   4097      383     128     16      REF   PASS  0.703       0.033       
scale   scale_verify    bstride   4097      383     128     16      REF   PASS  0.683       0.025       
scale   scale_verify    bstride_c 4097      383     128     16      REF   PASS  0.621       0.019       
scale   scale_verify    basic     4097      383     128     32      REF   PASS  0.653       0.040       
scale   scale_verify    basic_c   4097      383     128     32      REF   PASS  0.586       0.024       
scale   scale_verify    tiled     4097      383     128     32      REF   PASS  0.795       0.029       
scale   scale_verify    tiled_c   4097      383     128     32      REF   PASS  1.265       0.065       
scale   scale_verify    bstride   4097      383     128     32      REF   PASS  0.861       0.018       
scale   scale_verify    bstride_c 4097      383     128     32      REF   PASS  0.695       0.014       
scale   scale_verify    basic     4097      383     128     64      REF   PASS  0.681       0.017       
scale   scale_verify    basic_c   4097      383     128     64      REF   PASS  0.764       0.018       
scale   scale_verify    tiled     4097      383     128     64      REF   PASS  0.798       0.020       
scale   scale_verify    tiled_c   4097      383     128     64      REF   PASS  0.697       0.016       
scale   scale_verify    bstride   4097      383     128     64      REF   PASS  0.663       0.014       
scale   scale_verify    bstride_c 4097      383     128     64      REF   PASS  0.666       0.010       
scale   scale_verify    basic     4097      383     128     128     REF   PASS  0.629       0.017       
scale   scale_verify    basic_c   4097      383     128     128     REF   PASS  0.687       0.018       
scale   scale_verify    tiled     4097      383     128     128     REF   PASS  0.688       0.019       
scale   scale_verify    tiled_c   4097      383     128     128     REF   PASS  0.606       0.015       
scale   scale_verify    bstride   4097      383     128     128     REF   PASS  0.629       0.014       
scale   scale_verify    bstride_c 4097      383     128     128     REF   PASS  0.642       0.011       
scale   scale_verify    basic     4097      383     256     8       REF   PASS  0.734       0.033       
scale   scale_verify    basic_c   4097      383     256     8       REF   PASS  0.847       0.034       
scale   scale_verify    tiled     4097      383     256     8       REF   PASS  0.946       0.044       
scale   scale_verify    tiled_c   4097      383     256     8       REF   PASS  1.211       0.036       
scale   scale_verify    bstride   4097      383     256     8       REF   PASS  1.119       0.036       
scale   scale_verify    bstride_c 4097      383     256     8       REF   PASS  0.688       0.020       
scale   scale_verify    basic     4097      383     256     16      REF   PASS  0.911       0.026       
scale   scale_verify    basic_c   4097      383     256     16      REF   PASS  0.697       0.025       
scale   scale_verify    tiled     4097      383     256     16      REF   PASS  0.723       0.029       
scale   scale_verify    tiled_c   4097      383     256     16      REF   PASS  0.758       0.024       
scale   scale_verify    bstride   4097      383     256     16      REF   PASS  0.780       0.038       
scale   scale_verify    bstride_c 4097      383     256     16      REF   PASS  0.713       0.016       
scale   scale_verify    basic     4097      383     256     32      REF   PASS  0.648       0.017       
scale   scale_verify    basic_c   4097      383     256     32      REF   PASS  0.855       0.034       
scale   scale_verify    tiled     4097      383     256     32      REF   PASS  0.641       0.020       
scale   scale_verify    tiled_c   4097      383     256     32      REF   PASS  0.779       0.017       
scale   scale_verify    bstride   4097      383     256     32      REF   PASS  0.708       0.015       
scale   scale_verify    bstride_c 4097      383     256     32      REF   PASS  0.691       0.011       
scale   scale_verify    basic     4097      383     256     64      REF   PASS  0.920       0.025       
scale   scale_verify    basic_c   4097      383     256     64      REF   PASS  0.858       0.023       
scale   scale_verify    tiled     4097      383     256     64      REF   PASS  0.773       0.027       
scale   scale_verify    tiled_c   4097      383     256     64      REF   PASS  0.739       0.018       
scale   scale_verify    bstride   4097      383     256     64      REF   PASS  0.665       0.023       
scale   scale_verify    bstride_c 4097      383     256     64      REF   PASS  0.635       0.014       
scale   scale_verify    basic     4097      383     256     128     REF   PASS  0.705       0.025       
scale   scale_verify    basic_c   4097      383     256     128     REF   PASS  0.761       0.023       
scale   scale_verify    tiled     4097      383     256     128     REF   PASS  0.697       0.027       
scale   scale_verify    tiled_c   4097      383     256     128     REF   PASS  0.630       0.018       
scale   scale_verify    bstride   4097      383     256     128     REF   PASS  0.649       0.023       
scale   scale_verify    bstride_c 4097      383     256     128     REF   PASS  0.684       0.030       
scale   scale_verify    basic     4097      383     512     8       REF   PASS  0.745       0.031       
scale   scale_verify    basic_c   4097      383     512     8       REF   PASS  0.751       0.029       
scale   scale_verify    tiled     4097      383     512     8       REF   PASS  0.784       0.036       
scale   scale_verify    tiled_c   4097      383     512     8       REF   PASS  0.673       0.027       
scale   scale_verify    bstride   4097      383     512     8       REF   PASS  0.743       0.039       
scale   scale_verify    bstride_c 4097      383     512     8       REF   PASS  0.666       0.024       
scale   scale_verify    basic     4097      383     512     16      REF   PASS  0.696       0.023       
scale   scale_verify    basic_c   4097      383     512     16      REF   PASS  0.707       0.021       
scale   scale_verify    tiled     4097      383     512     16      REF   PASS  0.705       0.029       
scale   scale_verify    tiled_c   4097      383     512     16      REF   PASS  0.680       0.020       
scale   scale_verify    bstride   4097      383     512     16      REF   PASS  0.726       0.023       
scale   scale_verify    bstride_c 4097      383     512     16      REF   PASS  0.705       0.014       
scale   scale_verify    basic     4097      383     512     32      REF   PASS  0.826       0.024       
scale   scale_verify    basic_c   4097      383     512     32      REF   PASS  0.949       0.022       
scale   scale_verify    tiled     4097      383     512     32      REF   PASS  0.753       0.030       
scale   scale_verify    tiled_c   4097      383     512     32      REF   PASS  0.711       0.020       
scale   scale_verify    bstride   4097      383     512     32      REF   PASS  0.701       0.023       
scale   scale_verify    bstride_c 4097      383     512     32      REF   PASS  0.727       0.014       
scale   scale_verify    basic     4097      383     512     64      REF   PASS  0.872       0.039       
scale   scale_verify    basic_c   4097      383     512     64      REF   PASS  0.836       0.034       
scale   scale_verify    tiled     4097      383     512     64      REF   PASS  0.894       0.043       
scale   scale_verify    tiled_c   4097      383     512     64      REF   PASS  0.718       0.028       
scale   scale_verify    bstride   4097      383     512     64      REF   PASS  0.893       0.040       
scale   scale_verify    bstride_c 4097      383     512     64      REF   PASS  0.866       0.023       
scale   scale_verify    basic     4097      383     512     128     REF   PASS  1.025       0.040       
scale   scale_verify    basic_c   4097      383     512     128     REF   PASS  0.740       0.034       
scale   scale_verify    tiled     4097      383     512     128     REF   PASS  0.848       0.044       
scale   scale_verify    tiled_c   4097      383     512     128     REF   PASS  0.718       0.028       
scale   scale_verify    bstride   4097      383     512     128     REF   PASS  0.779       0.039       
scale   scale_verify    bstride_c 4097      383     512     128     REF   PASS  1.074       0.023       

Scaling Heatmaps (kernel_ms, lower is better)
============================================================

scale_verify / basic  best=(64,128) 0.017 ms
block\grid8         16        32        64        128       
64        0.098     0.054     0.034     0.022     0.017     
128       0.055     0.033     0.040     0.017     0.017     
256       0.033     0.026     0.017     0.025     0.025     
512       0.031     0.023     0.024     0.039     0.040     

scale_verify / basic_c  best=(128,64) 0.018 ms
block\grid8         16        32        64        128       
