Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group   name              kernel                 H       H_out       K       S       P   block    grid    cpu    gpu    total_ms   kernel_ms
scale   scale_tail        basic               4097        1025       7       4       3     512      32    REF   PASS       0.493       0.006
scale   scale_tail        basic               4097        1025       7       4       3     512      64    REF   PASS       0.460       0.007
scale   scale_tail        basic               4097        1025       7       4       3     512     128    REF   PASS       0.454       0.007
scale   scale_kernel_1    basic               1024        1024       1       1       0      64       8    REF   PASS       0.483       0.022
scale   scale_kernel_1    basic               1024        1024       1       1       0      64      16    REF   PASS       0.443       0.006
scale   scale_kernel_1    basic               1024        1024       1       1       0      64      32    REF   PASS       0.465       0.006
scale   scale_kernel_1    basic               1024        1024       1       1       0      64      64    REF   PASS       0.444       0.006
scale   scale_kernel_1    basic               1024        1024       1       1       0      64     128    REF   PASS       0.420       0.006
scale   scale_kernel_1    basic               1024        1024       1       1       0     128       8    REF   PASS       0.449       0.006
scale   scale_kernel_1    basic               1024        1024       1       1       0     128      16    REF   PASS       0.437       0.005
scale   scale_kernel_1    basic               1024        1024       1       1       0     128      32    REF   PASS       0.475       0.006
scale   scale_kernel_1    basic               1024        1024       1       1       0     128      64    REF   PASS       0.477       0.006
scale   scale_kernel_1    basic               1024        1024       1       1       0     128     128    REF   PASS       0.438       0.005
scale   scale_kernel_1    basic               1024        1024       1       1       0     256       8    REF   PASS       0.482       0.006
scale   scale_kernel_1    basic               1024        1024       1       1       0     256      16    REF   PASS       0.503       0.005
scale   scale_kernel_1    basic               1024        1024       1       1       0     256      32    REF   PASS       0.458       0.005
scale   scale_kernel_1    basic               1024        1024       1       1       0     256      64    REF   PASS       0.486       0.006
scale   scale_kernel_1    basic               1024        1024       1       1       0     256     128    REF   PASS       0.469       0.006
scale   scale_kernel_1    basic               1024        1024       1       1       0     512       8    REF   PASS       0.497       0.006
scale   scale_kernel_1    basic               1024        1024       1       1       0     512      16    REF   PASS       0.444       0.005
scale   scale_kernel_1    basic               1024        1024       1       1       0     512      32    REF   PASS       0.491       0.006
scale   scale_kernel_1    basic               1024        1024       1       1       0     512      64    REF   PASS       0.437       0.006
scale   scale_kernel_1    basic               1024        1024       1       1       0     512     128    REF   PASS       0.493       0.007
small   pad_stride_1      basic_ldg              5           5       3       1       1     256      64   PASS   PASS       0.534       0.006
small   stride_2          basic_ldg              6           3       2       2       0     256      64   PASS   PASS       0.602       0.006
small   wide_pad          basic_ldg              4           5       4       1       2     256      64   PASS   PASS       0.490       0.007
small   kernel_1          basic_ldg              4           4       1       1       0     256      64   PASS   PASS       0.769       0.006
small   pad_stride_2      basic_ldg              3           3       3       2       2     256      64   PASS   PASS       0.464       0.006
small   stride_gap        basic_ldg              7           2       2       3       0     256      64   PASS   PASS       0.494       0.007
small   pad_zero_windows  basic_ldg              1           6       2       1       3     256      64   PASS   PASS       0.548       0.007
small   zero_output       basic_ldg              2           0       5       1       0     256      64   PASS   PASS       0.000       0.000
medium  sample            basic_ldg             16           8       3       2       1     256      64    REF   PASS       0.494       0.006
medium  medium_1          basic_ldg           4096        1024       7       4       3     256      64    REF   PASS       0.545       0.008
medium  medium_2          basic_ldg          65536       32768       3       2       1     256      64    REF   PASS       0.842       0.009
medium  medium_3          basic_ldg         262144       87382       5       3       2     256      64    REF   PASS       0.843       0.011
large   large_1           basic_ldg        1048576      262144       7       4       3     256      64    REF   PASS       1.508       0.037
large   large_2           basic_ldg        1048583      349528       5       3       2     256      64    REF   PASS       1.616       0.038
scale   scale_tiny        basic_ldg             33          33       3       1       1      64       8    REF   PASS       0.684       0.005
scale   scale_tiny        basic_ldg             33          33       3       1       1      64      16    REF   PASS       0.531       0.007
scale   scale_tiny        basic_ldg             33          33       3       1       1      64      32    REF   PASS       0.490       0.006
scale   scale_tiny        basic_ldg             33          33       3       1       1      64      64    REF   PASS       0.471       0.006
scale   scale_tiny        basic_ldg             33          33       3       1       1      64     128    REF   PASS       0.457       0.005
scale   scale_tiny        basic_ldg             33          33       3       1       1     128       8    REF   PASS       0.493       0.007
scale   scale_tiny        basic_ldg             33          33       3       1       1     128      16    REF   PASS       0.780       0.009
scale   scale_tiny        basic_ldg             33          33       3       1       1     128      32    REF   PASS       0.668       0.007
scale   scale_tiny        basic_ldg             33          33       3       1       1     128      64    REF   PASS       0.531       0.007
scale   scale_tiny        basic_ldg             33          33       3       1       1     128     128    REF   PASS       0.667       0.008
scale   scale_tiny        basic_ldg             33          33       3       1       1     256       8    REF   PASS       0.628       0.007
scale   scale_tiny        basic_ldg             33          33       3       1       1     256      16    REF   PASS       0.466       0.006
scale   scale_tiny        basic_ldg             33          33       3       1       1     256      32    REF   PASS       0.449       0.006
scale   scale_tiny        basic_ldg             33          33       3       1       1     256      64    REF   PASS       0.447       0.006
scale   scale_tiny        basic_ldg             33          33       3       1       1     256     128    REF   PASS       0.456       0.006
scale   scale_tiny        basic_ldg             33          33       3       1       1     512       8    REF   PASS       0.437       0.006
scale   scale_tiny        basic_ldg             33          33       3       1       1     512      16    REF   PASS       0.438       0.005
scale   scale_tiny        basic_ldg             33          33       3       1       1     512      32    REF   PASS       0.450       0.006
scale   scale_tiny        basic_ldg             33          33       3       1       1     512      64    REF   PASS       0.457       0.006
scale   scale_tiny        basic_ldg             33          33       3       1       1     512     128    REF   PASS       0.452       0.005
scale   scale_stride_gap  basic_ldg            513         103       4       5       2      64       8    REF   PASS       0.414       0.005
scale   scale_stride_gap  basic_ldg            513         103       4       5       2      64      16    REF   PASS       0.469       0.005
scale   scale_stride_gap  basic_ldg            513         103       4       5       2      64      32    REF   PASS       0.478       0.006
scale   scale_stride_gap  basic_ldg            513         103       4       5       2      64      64    REF   PASS       0.443       0.006
scale   scale_stride_gap  basic_ldg            513         103       4       5       2      64     128    REF   PASS       0.484       0.006
scale   scale_stride_gap  basic_ldg            513         103       4       5       2     128       8    REF   PASS       0.477       0.006
scale   scale_stride_gap  basic_ldg            513         103       4       5       2     128      16    REF   PASS       0.434       0.006
scale   scale_stride_gap  basic_ldg            513         103       4       5       2     128      32    REF   PASS       0.436       0.006
scale   scale_stride_gap  basic_ldg            513         103       4       5       2     128      64    REF   PASS       0.791       0.006
scale   scale_stride_gap  basic_ldg            513         103       4       5       2     128     128    REF   PASS       0.430       0.006
scale   scale_stride_gap  basic_ldg            513         103       4       5       2     256       8    REF   PASS       0.424       0.006
scale   scale_stride_gap  basic_ldg            513         103       4       5       2     256      16    REF   PASS       0.497       0.006
scale   scale_stride_gap  basic_ldg            513         103       4       5       2     256      32    REF   PASS       0.416       0.005
scale   scale_stride_gap  basic_ldg            513         103       4       5       2     256      64    REF   PASS       0.454       0.006
scale   scale_stride_gap  basic_ldg            513         103       4       5       2     256     128    REF   PASS       0.428       0.005
scale   scale_stride_gap  basic_ldg            513         103       4       5       2     512       8    REF   PASS       0.440       0.006
scale   scale_stride_gap  basic_ldg            513         103       4       5       2     512      16    REF   PASS       0.650       0.006
scale   scale_stride_gap  basic_ldg            513         103       4       5       2     512      32    REF   PASS       0.435       0.006
scale   scale_stride_gap  basic_ldg            513         103       4       5       2     512      64    REF   PASS       0.506       0.007
