Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group   name              kernel      rows      cols      block_x grid_x  cpu   gpu   total_ms    kernel_ms   
--------------------------------------------------------------------------------------------------------------
small   sample_4x4        basic       4         4         256     64      SKIP  PASS  2.971       0.005       
small   tail_1x5          basic       1         5         256     64      SKIP  PASS  0.550       0.005       
tensara tensara_1         basic       4096      4096      256     64      SKIP  SKIP  34.076      0.807       
tensara tensara_2         basic       6144      4096      256     64      SKIP  SKIP  53.586      1.205       
tensara tensara_3         basic       4096      7168      256     64      SKIP  SKIP  55.447      1.406       
tensara tensara_4         basic       4096      8192      256     64      SKIP  SKIP  69.399      1.599       
tensara tensara_5         basic       8192      8192      256     64      SKIP  SKIP  194.563     3.223       
small   sample_4x4        float4      4         4         256     64      SKIP  PASS  2.145       0.060       
small   tail_1x5          float4      1         5         256     64      SKIP  PASS  35.997      0.005       
tensara tensara_1         float4      4096      4096      256     64      SKIP  SKIP  34.161      0.761       
tensara tensara_2         float4      6144      4096      256     64      SKIP  SKIP  47.605      1.139       
tensara tensara_3         float4      4096      7168      256     64      SKIP  SKIP  54.085      1.320       
tensara tensara_4         float4      4096      8192      256     64      SKIP  SKIP  75.298      1.510       
tensara tensara_5         float4      8192      8192      256     64      SKIP  SKIP  133.743     3.017       
