Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group   name              kernel                 H       H_out       K       S       P   block    grid    cpu    gpu    total_ms   kernel_ms
scale   scale_tensara_3   basic            8388608     4194304       3       2       1      64      32   SKIP   SKIP      14.551       1.061
scale   scale_tensara_3   basic            8388608     4194304       3       2       1      64      64   SKIP   SKIP      11.938       0.568
scale   scale_tensara_3   basic            8388608     4194304       3       2       1      64     128   SKIP   SKIP      10.111       0.342
scale   scale_tensara_3   basic            8388608     4194304       3       2       1     128       8   SKIP   SKIP      21.570       2.058
scale   scale_tensara_3   basic            8388608     4194304       3       2       1     128      16   SKIP   SKIP      14.522       1.061
scale   scale_tensara_3   basic            8388608     4194304       3       2       1     128      32   SKIP   SKIP      13.324       0.568
scale   scale_tensara_3   basic            8388608     4194304       3       2       1     128      64   SKIP   SKIP      10.088       0.342
scale   scale_tensara_3   basic            8388608     4194304       3       2       1     128     128   SKIP   SKIP       9.896       0.295
scale   scale_tensara_3   basic            8388608     4194304       3       2       1     256       8   SKIP   SKIP      14.386       1.084
scale   scale_tensara_3   basic            8388608     4194304       3       2       1     256      16   SKIP   SKIP      12.329       0.570
scale   scale_tensara_3   basic            8388608     4194304       3       2       1     256      32   SKIP   SKIP       9.724       0.340
scale   scale_tensara_3   basic            8388608     4194304       3       2       1     256      64   SKIP   SKIP       9.639       0.299
scale   scale_tensara_3   basic            8388608     4194304       3       2       1     256     128   SKIP   SKIP      11.074       0.341
scale   scale_tensara_3   basic            8388608     4194304       3       2       1     512       8   SKIP   SKIP      11.716       0.600
scale   scale_tensara_3   basic            8388608     4194304       3       2       1     512      16   SKIP   SKIP      12.468       0.338
scale   scale_tensara_3   basic            8388608     4194304       3       2       1     512      32   SKIP   SKIP       9.432       0.296
scale   scale_tensara_3   basic            8388608     4194304       3       2       1     512      64   SKIP   SKIP       9.805       0.336
scale   scale_tensara_3   basic            8388608     4194304       3       2       1     512     128   SKIP   SKIP       9.662       0.309
scale   scale_tensara_4   basic           16777216     8388608       4       2       1      64       8   SKIP   SKIP      69.798       8.994
scale   scale_tensara_4   basic           16777216     8388608       4       2       1      64      16   SKIP   SKIP      43.476       4.580
