Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group   name              kernel      rows      cols      block_x grid_x  cpu   gpu   total_ms    kernel_ms   
--------------------------------------------------------------------------------------------------------------
small   sample_2x4        basic       2         4         256     64      SKIP  PASS  4.200       0.006       
small   tail_2x3          basic       2         3         256     64      SKIP  PASS  0.554       0.005       
tensara tensara_1         basic       1024      1024      256     64      SKIP  SKIP  24.496      3.659       
tensara tensara_2         basic       1024      4096      256     64      SKIP  SKIP  312.071     47.950      
tensara tensara_3         basic       2048      8192      256     64      SKIP  SKIP  2333.411    383.720     
tensara tensara_4         basic       512       16384     256     64      SKIP  SKIP  2316.249    383.932     
scale   scale_tensara_1   basic       1024      1024      64      8       SKIP  SKIP  186.079     30.443      
scale   scale_tensara_1   basic       1024      1024      64      16      SKIP  SKIP  150.499     24.521      
scale   scale_tensara_1   basic       1024      1024      64      32      SKIP  SKIP  77.149      12.357      
scale   scale_tensara_1   basic       1024      1024      64      64      SKIP  SKIP  40.642      6.301       
scale   scale_tensara_1   basic       1024      1024      64      128     SKIP  SKIP  22.034      3.205       
scale   scale_tensara_1   basic       1024      1024      128     8       SKIP  SKIP  152.414     24.873      
scale   scale_tensara_1   basic       1024      1024      128     16      SKIP  SKIP  78.976      12.554      
scale   scale_tensara_1   basic       1024      1024      128     32      SKIP  SKIP  41.336      6.362       
scale   scale_tensara_1   basic       1024      1024      128     64      SKIP  SKIP  22.665      3.280       
scale   scale_tensara_1   basic       1024      1024      128     128     SKIP  SKIP  18.454      2.645       
scale   scale_tensara_1   basic       1024      1024      256     8       SKIP  SKIP  80.044      12.746      
scale   scale_tensara_1   basic       1024      1024      256     16      SKIP  SKIP  41.555      6.430       
scale   scale_tensara_1   basic       1024      1024      256     32      SKIP  SKIP  22.680      3.318       
scale   scale_tensara_1   basic       1024      1024      256     64      SKIP  SKIP  19.795      2.882       
scale   scale_tensara_1   basic       1024      1024      256     128     SKIP  SKIP  16.385      2.260       
scale   scale_tensara_1   basic       1024      1024      512     8       SKIP  SKIP  41.806      6.516       
scale   scale_tensara_1   basic       1024      1024      512     16      SKIP  SKIP  22.264      3.271       
scale   scale_tensara_1   basic       1024      1024      512     32      SKIP  SKIP  17.039      2.365       
scale   scale_tensara_1   basic       1024      1024      512     64      SKIP  SKIP  17.231      2.326       
