Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms

group   name            kernel    N         K       block_x grid_x  cpu   gpu   total_ms    kernel_ms   
large   large_2         bstride_c 65536     63      256     32      SKIP  SKIP  0.712       0.020       
large   large_3         basic     131072    95      256     32      SKIP  SKIP  1.302       0.080       
large   large_3         basic_c   131072    95      256     32      SKIP  SKIP  1.116       0.074       
large   large_3         tiled     131072    95      256     32      SKIP  SKIP  1.317       0.104       
large   large_3         tiled_c   131072    95      256     32      SKIP  SKIP  1.053       0.070       
large   large_3         bstride   131072    95      256     32      SKIP  SKIP  1.511       0.082       
large   large_3         bstride_c 131072    95      256     32      SKIP  SKIP  0.987       0.048       
large   large_4         basic     262144    127     256     32      SKIP  SKIP  3.799       0.205       
large   large_4         basic_c   262144    127     256     32      SKIP  SKIP  2.185       0.183       
large   large_4         tiled     262144    127     256     32      SKIP  SKIP  2.764       0.263       
large   large_4         tiled_c   262144    127     256     32      SKIP  SKIP  2.027       0.172       
large   large_4         bstride   262144    127     256     32      SKIP  SKIP  2.314       0.202       
large   large_4         bstride_c 262144    127     256     32      SKIP  SKIP  1.539       0.115       
large   large_5         basic     524288    191     256     32      SKIP  SKIP  5.390       0.596       
large   large_5         basic_c   524288    191     256     32      SKIP  SKIP  4.876       0.544       
large   large_5         tiled     524288    191     256     32      SKIP  SKIP  6.874       0.751       
large   large_5         tiled_c   524288    191     256     32      SKIP  SKIP  5.251       0.502       
large   large_5         bstride   524288    191     256     32      SKIP  SKIP  5.573       0.595       
large   large_5         bstride_c 524288    191     256     32      SKIP  SKIP  3.546       0.319       
tile    tile_1          basic     262144    127     256     32      SKIP  SKIP  2.423       0.203       
tile    tile_1          basic_c   262144    127     256     32      SKIP  SKIP  1.899       0.183       
tile    tile_1          tiled     262144    127     256     32      SKIP  SKIP  3.040       0.264       
tile    tile_1          tiled_c   262144    127     256     32      SKIP  SKIP  2.375       0.173       
tile    tile_1          bstride   262144    127     256     32      SKIP  SKIP  2.572       0.202       
tile    tile_1          bstride_c 262144    127     256     32      SKIP  SKIP  1.667       0.114       
tile    tile_2          basic     524288    191     256     32      SKIP  SKIP  5.192       0.597       
tile    tile_2          basic_c   524288    191     256     32      SKIP  SKIP  4.750       0.545       
tile    tile_2          tiled     524288    191     256     32      SKIP  SKIP  6.340       0.751       
tile    tile_2          tiled_c   524288    191     256     32      SKIP  SKIP  4.588       0.500       
tile    tile_2          bstride   524288    191     256     32      SKIP  SKIP  5.220       0.458       
tile    tile_2          bstride_c 524288    191     256     32      SKIP  SKIP  2.951       0.259       
tile    tile_3          basic     1048576   255     256     32      SKIP  SKIP  9.694       1.228       
tile    tile_3          basic_c   1048576   255     256     32      SKIP  SKIP  9.144       1.100       
tile    tile_3          tiled     1048576   255     256     32      SKIP  SKIP  12.974      1.554       
tile    tile_3          tiled_c   1048576   255     256     32      SKIP  SKIP  8.345       1.017       
tile    tile_3          bstride   1048576   255     256     32      SKIP  SKIP  17.965      1.241       
tile    tile_3          bstride_c 1048576   255     256     32      SKIP  SKIP  6.134       0.641       
tile    tile_4          basic     1048576   383     256     32      SKIP  SKIP  14.136      1.786       
tile    tile_4          basic_c   1048576   383     256     32      SKIP  SKIP  12.374      1.650       
tile    tile_4          tiled     1048576   383     256     32      SKIP  SKIP  18.029      2.531       
tile    tile_4          tiled_c   1048576   383     256     32      SKIP  SKIP  12.241      1.646       
tile    tile_4          bstride   1048576   383     256     32      SKIP  SKIP  14.674      1.881       
tile    tile_4          bstride_c 1048576   383     256     32      SKIP  SKIP  8.271       0.985       
tile    tile_5          basic     2097152   511     256     32      SKIP  SKIP  36.107      4.786       
tile    tile_5          basic_c   2097152   511     256     32      SKIP  SKIP  38.448      5.098       
tile    tile_5          tiled     2097152   511     256     32      SKIP  SKIP  47.155      6.452       
tile    tile_5          tiled_c   2097152   511     256     32      SKIP  SKIP  29.944      4.012       
tile    tile_5          bstride   2097152   511     256     32      SKIP  SKIP  35.471      4.784       
tile    tile_5          bstride_c 2097152   511     256     32      SKIP  SKIP  19.980      2.572       
tensara tensara_1       basic     32768     8191    256     32      SKIP  SKIP  8.405       1.218       
tensara tensara_1       basic_c   32768     8191    256     32      SKIP  SKIP  7.898       1.120       
tensara tensara_1       tiled     32768     8191    256     32      SKIP  SKIP  10.358      1.591       
tensara tensara_1       tiled_c   32768     8191    256     32      SKIP  SKIP  6.662       0.958       
tensara tensara_1       bstride   32768     8191    256     32      SKIP  SKIP  8.375       1.224       
tensara tensara_1       bstride_c 32768     8191    256     32      SKIP  SKIP  4.399       0.607       
tensara tensara_2       basic     65536     8191    256     32      SKIP  SKIP  16.430      2.608       
tensara tensara_2       basic_c   65536     8191    256     32      SKIP  SKIP  14.919      2.294       
tensara tensara_2       tiled     65536     8191    256     32      SKIP  SKIP  21.067      3.344       
tensara tensara_2       tiled_c   65536     8191    256     32      SKIP  SKIP  13.011      1.989       
tensara tensara_2       bstride   65536     8191    256     32      SKIP  SKIP  15.332      2.385       
tensara tensara_2       bstride_c 65536     8191    256     32      SKIP  SKIP  8.416       1.205       
odd     odd_1           basic     4097      31      256     32      SKIP  SKIP  1.093       0.025       
odd     odd_1           basic_c   4097      31      256     32      SKIP  SKIP  0.588       0.005       
odd     odd_1           tiled     4097      31      256     32      SKIP  SKIP  0.786       0.007       
odd     odd_1           tiled_c   4097      31      256     32      SKIP  SKIP  0.558       0.006       
odd     odd_1           bstride   4097      31      256     32      SKIP  SKIP  1.132       0.047       
odd     odd_1           bstride_c 4097      31      256     32      SKIP  SKIP  0.622       0.006       
odd     odd_2           basic     32769     127     256     32      SKIP  SKIP  0.759       0.040       
odd     odd_2           basic_c   32769     127     256     32      SKIP  SKIP  0.711       0.025       
odd     odd_2           tiled     32769     127     256     32      SKIP  SKIP  0.824       0.031       
odd     odd_2           tiled_c   32769     127     256     32      SKIP  SKIP  0.700       0.038       
odd     odd_2           bstride   32769     127     256     32      SKIP  SKIP  0.719       0.027       
odd     odd_2           bstride_c 32769     127     256     32      SKIP  SKIP  0.646       0.033       
odd     odd_3           basic     262147    383     256     32      SKIP  SKIP  4.140       0.487       
odd     odd_3           basic_c   262147    383     256     32      SKIP  SKIP  3.784       0.426       
odd     odd_3           tiled     262147    383     256     32      SKIP  SKIP  5.128       0.579       
odd     odd_3           tiled_c   262147    383     256     32      SKIP  SKIP  3.410       0.374       
odd     odd_3           bstride   262147    383     256     32      SKIP  SKIP  4.727       0.450       
odd     odd_3           bstride_c 262147    383     256     32      SKIP  SKIP  2.780       0.233       
scale   scale_tensara_1 basic     32768     8191    64      8       SKIP  SKIP  41.574      6.707       
scale   scale_tensara_1 basic_c   32768     8191    64      8       SKIP  SKIP  50.087      8.164       
scale   scale_tensara_1 tiled     32768     8191    64      8       SKIP  SKIP  77.900      12.707      
scale   scale_tensara_1 tiled_c   32768     8191    64      8       SKIP  SKIP  56.195      8.955       
scale   scale_tensara_1 bstride   32768     8191    64      8       SKIP  SKIP  45.141      6.704       
scale   scale_tensara_1 bstride_c 32768     8191    64      8       SKIP  SKIP  27.616      3.753       
scale   scale_tensara_1 basic     32768     8191    64      16      SKIP  SKIP  25.025      3.502       
scale   scale_tensara_1 basic_c   32768     8191    64      16      SKIP  SKIP  27.955      4.213       
scale   scale_tensara_1 tiled     32768     8191    64      16      SKIP  SKIP  40.363      6.342       
scale   scale_tensara_1 tiled_c   32768     8191    64      16      SKIP  SKIP  27.655      4.431       
scale   scale_tensara_1 bstride   32768     8191    64      16      SKIP  SKIP  21.197      3.354       
scale   scale_tensara_1 bstride_c 32768     8191    64      16      SKIP  SKIP  12.332      1.877       
scale   scale_tensara_1 basic     32768     8191    64      32      SKIP  SKIP  12.319      1.902       
scale   scale_tensara_1 basic_c   32768     8191    64      32      SKIP  SKIP  14.257      2.256       
scale   scale_tensara_1 tiled     32768     8191    64      32      SKIP  SKIP  20.481      3.260       
scale   scale_tensara_1 tiled_c   32768     8191    64      32      SKIP  SKIP  14.799      2.313       
scale   scale_tensara_1 bstride   32768     8191    64      32      SKIP  SKIP  12.715      1.927       
scale   scale_tensara_1 bstride_c 32768     8191    64      32      SKIP  SKIP  7.281       1.083       
scale   scale_tensara_1 basic     32768     8191    64      64      SKIP  SKIP  8.642       1.311       
scale   scale_tensara_1 basic_c   32768     8191    64      64      SKIP  SKIP  9.305       1.422       
scale   scale_tensara_1 tiled     32768     8191    64      64      SKIP  SKIP  21.200      3.324       
scale   scale_tensara_1 tiled_c   32768     8191    64      64      SKIP  SKIP  15.888      2.405       
scale   scale_tensara_1 bstride   32768     8191    64      64      SKIP  SKIP  13.411      1.978       
scale   scale_tensara_1 bstride_c 32768     8191    64      64      SKIP  SKIP  7.620       0.992       
scale   scale_tensara_1 basic     32768     8191    64      128     SKIP  SKIP  8.078       1.130       
scale   scale_tensara_1 basic_c   32768     8191    64      128     SKIP  SKIP  7.585       1.055       
scale   scale_tensara_1 tiled     32768     8191    64      128     SKIP  SKIP  17.417      2.535       
scale   scale_tensara_1 tiled_c   32768     8191    64      128     SKIP  SKIP  13.524      1.876       
scale   scale_tensara_1 bstride   32768     8191    64      128     SKIP  SKIP  10.863      1.511       
scale   scale_tensara_1 bstride_c 32768     8191    64      128     SKIP  SKIP  6.027       0.819       
scale   scale_tensara_1 basic     32768     8191    128     8       SKIP  SKIP  24.802      3.687       
scale   scale_tensara_1 basic_c   32768     8191    128     8       SKIP  SKIP  28.782      4.390       
scale   scale_tensara_1 tiled     32768     8191    128     8       SKIP  SKIP  42.486      6.636       
scale   scale_tensara_1 tiled_c   32768     8191    128     8       SKIP  SKIP  29.246      4.437       
scale   scale_tensara_1 bstride   32768     8191    128     8       SKIP  SKIP  23.063      3.617       
scale   scale_tensara_1 bstride_c 32768     8191    128     8       SKIP  SKIP  12.870      1.971       
scale   scale_tensara_1 basic     32768     8191    128     16      SKIP  SKIP  12.894      1.979       
scale   scale_tensara_1 basic_c   32768     8191    128     16      SKIP  SKIP  14.911      2.367       
scale   scale_tensara_1 tiled     32768     8191    128     16      SKIP  SKIP  21.405      3.401       
scale   scale_tensara_1 tiled_c   32768     8191    128     16      SKIP  SKIP  14.358      2.256       
scale   scale_tensara_1 bstride   32768     8191    128     16      SKIP  SKIP  11.989      1.815       
scale   scale_tensara_1 bstride_c 32768     8191    128     16      SKIP  SKIP  6.847       0.968       
scale   scale_tensara_1 basic     32768     8191    128     32      SKIP  SKIP  9.275       1.314       
scale   scale_tensara_1 basic_c   32768     8191    128     32      SKIP  SKIP  9.767       1.436       
scale   scale_tensara_1 tiled     32768     8191    128     32      SKIP  SKIP  13.684      1.968       
scale   scale_tensara_1 tiled_c   32768     8191    128     32      SKIP  SKIP  10.115      1.396       
scale   scale_tensara_1 bstride   32768     8191    128     32      SKIP  SKIP  9.260       1.264       
scale   scale_tensara_1 bstride_c 32768     8191    128     32      SKIP  SKIP  5.471       0.616       
scale   scale_tensara_1 basic     32768     8191    128     64      SKIP  SKIP  9.558       1.182       
scale   scale_tensara_1 basic_c   32768     8191    128     64      SKIP  SKIP  8.834       1.075       
scale   scale_tensara_1 tiled     32768     8191    128     64      SKIP  SKIP  13.843      1.975       
scale   scale_tensara_1 tiled_c   32768     8191    128     64      SKIP  SKIP  9.684       1.360       
scale   scale_tensara_1 bstride   32768     8191    128     64      SKIP  SKIP  9.278       1.253       
scale   scale_tensara_1 bstride_c 32768     8191    128     64      SKIP  SKIP  5.053       0.635       
scale   scale_tensara_1 basic     32768     8191    128     128     SKIP  SKIP  7.883       1.026       
scale   scale_tensara_1 basic_c   32768     8191    128     128     SKIP  SKIP  7.968       1.030       
scale   scale_tensara_1 tiled     32768     8191    128     128     SKIP  SKIP  13.286      1.982       
scale   scale_tensara_1 tiled_c   32768     8191    128     128     SKIP  SKIP  11.002      1.383       
scale   scale_tensara_1 bstride   32768     8191    128     128     SKIP  SKIP  8.497       1.125       
scale   scale_tensara_1 bstride_c 32768     8191    128     128     SKIP  SKIP  5.244       0.611       
