Timing samples: mode=median repeats=5 warmup_rounds=5
CPU reference implemented: yes
GPU kernel implemented: yes

group     name                        kernel    N       scalar    block   grid    cpu     gpu     kernel_ms   
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     64      128     SKIP    SKIP    2.988       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     128     8       SKIP    SKIP    6.164       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     128     16      SKIP    SKIP    3.746       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     128     32      SKIP    SKIP    3.083       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     128     64      SKIP    SKIP    2.988       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     128     128     SKIP    SKIP    2.985       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     256     8       SKIP    SKIP    3.732       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     256     16      SKIP    SKIP    3.085       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     256     32      SKIP    SKIP    2.993       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     256     64      SKIP    SKIP    2.995       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     256     128     SKIP    SKIP    3.024       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     512     8       SKIP    SKIP    3.090       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     512     16      SKIP    SKIP    2.992       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     512     32      SKIP    SKIP    2.991       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     512     64      SKIP    SKIP    3.025       
sweep     8192x8192 scalar=0.200000   float4    8192    0.200     512     128     SKIP    SKIP    2.993       
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    64      8       SKIP    SKIP    40.266      
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    64      16      SKIP    SKIP    20.696      
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    64      32      SKIP    SKIP    10.865      
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    64      64      SKIP    SKIP    5.891       
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    64      128     SKIP    SKIP    3.674       
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    128     8       SKIP    SKIP    20.705      
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    128     16      SKIP    SKIP    10.869      
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    128     32      SKIP    SKIP    5.888       
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    128     64      SKIP    SKIP    3.685       
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    128     128     SKIP    SKIP    3.134       
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    256     8       SKIP    SKIP    10.866      
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    256     16      SKIP    SKIP    5.878       
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    256     32      SKIP    SKIP    3.696       
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    256     64      SKIP    SKIP    3.134       
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    256     128     SKIP    SKIP    3.475       
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    512     8       SKIP    SKIP    5.874       
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    512     16      SKIP    SKIP    3.692       
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    512     32      SKIP    SKIP    3.127       
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    512     64      SKIP    SKIP    3.483       
sweep     8192x8192 scalar=-0.300000  basic     8192    -0.300    512     128     SKIP    SKIP    3.177       
sweep     8192x8192 scalar=-0.300000  float4    8192    -0.300    64      8       SKIP    SKIP    11.241      
sweep     8192x8192 scalar=-0.300000  float4    8192    -0.300    64      16      SKIP    SKIP    6.171       
sweep     8192x8192 scalar=-0.300000  float4    8192    -0.300    64      32      SKIP    SKIP    3.746       
sweep     8192x8192 scalar=-0.300000  float4    8192    -0.300    64      64      SKIP    SKIP    3.082       
sweep     8192x8192 scalar=-0.300000  float4    8192    -0.300    64      128     SKIP    SKIP    2.989       
sweep     8192x8192 scalar=-0.300000  float4    8192    -0.300    128     8       SKIP    SKIP    6.150       
sweep     8192x8192 scalar=-0.300000  float4    8192    -0.300    128     16      SKIP    SKIP    3.744       
sweep     8192x8192 scalar=-0.300000  float4    8192    -0.300    128     32      SKIP    SKIP    3.087       
sweep     8192x8192 scalar=-0.300000  float4    8192    -0.300    128     64      SKIP    SKIP    2.996       
sweep     8192x8192 scalar=-0.300000  float4    8192    -0.300    128     128     SKIP    SKIP    2.988       
sweep     8192x8192 scalar=-0.300000  float4    8192    -0.300    256     8       SKIP    SKIP    3.736       
sweep     8192x8192 scalar=-0.300000  float4    8192    -0.300    256     16      SKIP    SKIP    3.097       
sweep     8192x8192 scalar=-0.300000  float4    8192    -0.300    256     32      SKIP    SKIP    2.991       
sweep     8192x8192 scalar=-0.300000  float4    8192    -0.300    256     64      SKIP    SKIP    2.989       
sweep     8192x8192 scalar=-0.300000  float4    8192    -0.300    256     128     SKIP    SKIP    3.027       
sweep     8192x8192 scalar=-0.300000  float4    8192    -0.300    512     8       SKIP    SKIP    3.085       
sweep     8192x8192 scalar=-0.300000  float4    8192    -0.300    512     16      SKIP    SKIP    2.988       
sweep     8192x8192 scalar=-0.300000  float4    8192    -0.300    512     32      SKIP    SKIP    2.994       
sweep     8192x8192 scalar=-0.300000  float4    8192    -0.300    512     64      SKIP    SKIP    3.031       
sweep     8192x8192 scalar=-0.300000  float4    8192    -0.300    512     128     SKIP    SKIP    2.992       
sweep     8192x8192 scalar=0.400000   basic     8192    0.400     64      8       SKIP    SKIP    40.280      
sweep     8192x8192 scalar=0.400000   basic     8192    0.400     64      16      SKIP    SKIP    20.683      
sweep     8192x8192 scalar=0.400000   basic     8192    0.400     64      32      SKIP    SKIP    10.864      
sweep     8192x8192 scalar=0.400000   basic     8192    0.400     64      64      SKIP    SKIP    5.897       
sweep     8192x8192 scalar=0.400000   basic     8192    0.400     64      128     SKIP    SKIP    3.671       
sweep     8192x8192 scalar=0.400000   basic     8192    0.400     128     8       SKIP    SKIP    20.695      
sweep     8192x8192 scalar=0.400000   basic     8192    0.400     128     16      SKIP    SKIP    10.878      
sweep     8192x8192 scalar=0.400000   basic     8192    0.400     128     32      SKIP    SKIP    5.887       
sweep     8192x8192 scalar=0.400000   basic     8192    0.400     128     64      SKIP    SKIP    3.675       
sweep     8192x8192 scalar=0.400000   basic     8192    0.400     128     128     SKIP    SKIP    3.130       
sweep     8192x8192 scalar=0.400000   basic     8192    0.400     256     8       SKIP    SKIP    10.869      
sweep     8192x8192 scalar=0.400000   basic     8192    0.400     256     16      SKIP    SKIP    5.871       
sweep     8192x8192 scalar=0.400000   basic     8192    0.400     256     32      SKIP    SKIP    3.683       
sweep     8192x8192 scalar=0.400000   basic     8192    0.400     256     64      SKIP    SKIP    3.131       
sweep     8192x8192 scalar=0.400000   basic     8192    0.400     256     128     SKIP    SKIP    3.476       
sweep     8192x8192 scalar=0.400000   basic     8192    0.400     512     8       SKIP    SKIP    5.864       
sweep     8192x8192 scalar=0.400000   basic     8192    0.400     512     16      SKIP    SKIP    3.679       
sweep     8192x8192 scalar=0.400000   basic     8192    0.400     512     32      SKIP    SKIP    3.128       
sweep     8192x8192 scalar=0.400000   basic     8192    0.400     512     64      SKIP    SKIP    3.484       
sweep     8192x8192 scalar=0.400000   basic     8192    0.400     512     128     SKIP    SKIP    3.172       
sweep     8192x8192 scalar=0.400000   float4    8192    0.400     64      8       SKIP    SKIP    11.257      
sweep     8192x8192 scalar=0.400000   float4    8192    0.400     64      16      SKIP    SKIP    6.158       
sweep     8192x8192 scalar=0.400000   float4    8192    0.400     64      32      SKIP    SKIP    3.752       
sweep     8192x8192 scalar=0.400000   float4    8192    0.400     64      64      SKIP    SKIP    3.079       
sweep     8192x8192 scalar=0.400000   float4    8192    0.400     64      128     SKIP    SKIP    2.990       
sweep     8192x8192 scalar=0.400000   float4    8192    0.400     128     8       SKIP    SKIP    6.165       
sweep     8192x8192 scalar=0.400000   float4    8192    0.400     128     16      SKIP    SKIP    3.747       
sweep     8192x8192 scalar=0.400000   float4    8192    0.400     128     32      SKIP    SKIP    3.083       
sweep     8192x8192 scalar=0.400000   float4    8192    0.400     128     64      SKIP    SKIP    2.988       
sweep     8192x8192 scalar=0.400000   float4    8192    0.400     128     128     SKIP    SKIP    2.988       
sweep     8192x8192 scalar=0.400000   float4    8192    0.400     256     8       SKIP    SKIP    3.747       
sweep     8192x8192 scalar=0.400000   float4    8192    0.400     256     16      SKIP    SKIP    3.085       
sweep     8192x8192 scalar=0.400000   float4    8192    0.400     256     32      SKIP    SKIP    2.996       
sweep     8192x8192 scalar=0.400000   float4    8192    0.400     256     64      SKIP    SKIP    2.993       
sweep     8192x8192 scalar=0.400000   float4    8192    0.400     256     128     SKIP    SKIP    3.019       
sweep     8192x8192 scalar=0.400000   float4    8192    0.400     512     8       SKIP    SKIP    3.085       
sweep     8192x8192 scalar=0.400000   float4    8192    0.400     512     16      SKIP    SKIP    2.992       
sweep     8192x8192 scalar=0.400000   float4    8192    0.400     512     32      SKIP    SKIP    2.994       
sweep     8192x8192 scalar=0.400000   float4    8192    0.400     512     64      SKIP    SKIP    3.027       
sweep     8192x8192 scalar=0.400000   float4    8192    0.400     512     128     SKIP    SKIP    2.994       
sweep     8192x8192 scalar=-0.500000  basic     8192    -0.500    64      8       SKIP    SKIP    40.282      
sweep     8192x8192 scalar=-0.500000  basic     8192    -0.500    64      16      SKIP    SKIP    20.686      
sweep     8192x8192 scalar=-0.500000  basic     8192    -0.500    64      32      SKIP    SKIP    10.869      
sweep     8192x8192 scalar=-0.500000  basic     8192    -0.500    64      64      SKIP    SKIP    5.889       
sweep     8192x8192 scalar=-0.500000  basic     8192    -0.500    64      128     SKIP    SKIP    3.685       
sweep     8192x8192 scalar=-0.500000  basic     8192    -0.500    128     8       SKIP    SKIP    20.705      
sweep     8192x8192 scalar=-0.500000  basic     8192    -0.500    128     16      SKIP    SKIP    10.865      
